component_id,lot_id,device_variant,final_decision,module_A_decision,module_A_risk,module_A_reason_code,module_A_reason,module_B_decision,module_B_risk,module_B_reason_code,module_B_reason,driving_parameter,unit,value_0h,value_24h,predicted_168h,prediction_lower,prediction_upper,spec_limit,limit_direction,headroom_abs,headroom_frac,confidence_A,confidence_B,extrapolation_flag,explanation
C0218,L005,CMOS_A,MONITOR,MONITOR,0.3040598236800932,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.0039,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,7.69755,7.42461,7.72712,,,22.0,UPPER,14.27288,0.9961,MEDIUM,NOMINAL,False,Final decision is MONITOR because at least one module identified a condition requiring attention. Module A: Measurement is strongly unusual relative to the component's lot peers. Module B: All six parameters are predicted to stay within limits with margin.
C0219,L005,CMOS_A,PASS,PASS,0.2124359954019384,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.019,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,7.97241,7.9802,8.19116,,,22.0,UPPER,13.80884,0.981,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0220,L005,CMOS_A,PASS,PASS,0.1083829456656613,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0355,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.03167,8.20634,8.42328,,,22.0,UPPER,13.57672,0.9645,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0221,L005,CMOS_A,PASS,PASS,0.2238544435034021,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0261,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.00041,8.07741,8.29094,,,22.0,UPPER,13.70906,0.9739,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0222,L005,CMOS_A,PASS,PASS,0.1564296137614187,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0162,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,7.66819,7.70677,7.90324,,,22.0,UPPER,14.09676,0.9838,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0223,L005,CMOS_A,PASS,PASS,0.1618569217354299,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1241,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,395.25,388.56,403.28997,,,700.0,UPPER,296.71003,0.8759,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0224,L005,CMOS_A,PASS,PASS,0.2745406766637591,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1418,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,407.548,392.093,409.29819,,,700.0,UPPER,290.70181,0.8582,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0225,L005,CMOS_A,PASS,PASS,0.1573266117907897,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0697,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,366.103,374.802,384.86228,,,700.0,UPPER,315.13772,0.9303,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0226,L005,CMOS_A,MONITOR,PASS,0.1921793326953201,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0751,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.85078,8.75035,8.98167,,,22.0,UPPER,13.01833,0.9249,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0227,L005,CMOS_A,PASS,PASS,0.1904668160018649,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0136,B_OK,All six parameters are predicted to stay within limits with margin.,IDDQ_uA,uA,2.46465,2.41828,2.59325,,,40.0,UPPER,37.40675,0.9864,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
