component_id,lot_id_A,device_variant_A,disposition_A,risk_A,driving_parameter_A,n_params_flagged_A,confidence_A,reason_code_A,reason_text_A,disposition_B,risk_B,driving_parameter_B,driving_headroom_frac,n_params_flagged_B,confidence_B,extrapolation_flag,reason_code_B,reason_text_B,final_decision
C0218,L005,CMOS_A,MONITOR,0.3040598236800932,IDDQ_24h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.0039,Output_Fall_Time_ns,0.9961,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,MONITOR
C0219,L005,CMOS_A,PASS,0.2124359954019384,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.019,Output_Rise_Time_ns,0.981,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0220,L005,CMOS_A,PASS,0.1083829456656613,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0355,Output_Rise_Time_ns,0.9645,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0221,L005,CMOS_A,PASS,0.2238544435034021,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0261,Output_Rise_Time_ns,0.9739,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0222,L005,CMOS_A,PASS,0.1564296137614187,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0162,Output_Fall_Time_ns,0.9838,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0223,L005,CMOS_A,PASS,0.1618569217354299,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1241,Supply_Current_ICC_uA,0.8759,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0224,L005,CMOS_A,PASS,0.2745406766637591,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1418,Supply_Current_ICC_uA,0.8582,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0225,L005,CMOS_A,PASS,0.1573266117907897,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0697,Supply_Current_ICC_uA,0.9303,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0226,L005,CMOS_A,PASS,0.1921793326953201,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0751,Output_Rise_Time_ns,0.9249,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0227,L005,CMOS_A,PASS,0.1904668160018649,IDDQ_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0136,IDDQ_uA,0.9864,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0228,L005,CMOS_A,MONITOR,0.3098734057970411,Output_Fall_Time_96h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.0857,Output_Rise_Time_ns,0.9143,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0229,L005,CMOS_A,PASS,0.2385808620854091,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.064,Output_Fall_Time_ns,0.936,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0230,L005,CMOS_A,PASS,0.2667889295811025,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0312,Supply_Current_ICC_uA,0.9688,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0231,L005,CMOS_A,PASS,0.2792575299726514,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1516,Output_Rise_Time_ns,0.9206,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0232,L005,CMOS_A,PASS,0.2086236162994449,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0331,Propagation_Delay_ns,0.9669,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0233,L005,CMOS_A,PASS,0.1669474363966937,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0551,Output_Fall_Time_ns,0.9449,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0234,L005,CMOS_A,PASS,0.2063196769394695,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0696,Output_Fall_Time_ns,0.9304,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0235,L005,CMOS_A,PASS,0.2535507953537873,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2057,Supply_Current_ICC_uA,0.7943,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0236,L005,CMOS_A,MONITOR,0.3856352601616171,Output_Fall_Time_0h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.,PASS,0.0819,Output_Fall_Time_ns,0.9181,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,MONITOR
C0237,L005,CMOS_A,PASS,0.1095601041503844,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0677,Supply_Current_ICC_uA,0.9323,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0238,L005,CMOS_A,PASS,0.1718844178492402,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0073,Input_Leakage_Current_uA,0.9927,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0239,L005,CMOS_A,PASS,0.1464221599524182,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0565,Output_Rise_Time_ns,0.9435,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0240,L005,CMOS_A,PASS,0.1862510216718487,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0343,Output_Rise_Time_ns,0.9657,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0241,L005,CMOS_A,PASS,0.2025546993324025,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.034,Supply_Current_ICC_uA,0.966,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0242,L005,CMOS_A,PASS,0.1840185973177259,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0573,Output_Rise_Time_ns,0.9427,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
