component_id,lot_id,device_variant,disposition_A,risk_A,driving_parameter,n_params_flagged,confidence,reason_code,reason_text
C0218,L005,CMOS_A,MONITOR,0.3040598236800932,IDDQ_24h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0219,L005,CMOS_A,PASS,0.21243599540193844,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0220,L005,CMOS_A,PASS,0.10838294566566131,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0221,L005,CMOS_A,PASS,0.22385444350340217,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0222,L005,CMOS_A,PASS,0.15642961376141873,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0223,L005,CMOS_A,PASS,0.16185692173542995,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0224,L005,CMOS_A,PASS,0.27454067666375914,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0225,L005,CMOS_A,PASS,0.15732661179078977,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0226,L005,CMOS_A,PASS,0.19217933269532012,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0227,L005,CMOS_A,PASS,0.19046681600186496,IDDQ_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0228,L005,CMOS_A,MONITOR,0.3098734057970411,Output_Fall_Time_96h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0229,L005,CMOS_A,PASS,0.23858086208540913,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
