component_id,lot_id,injected_defect,scenario_role
CH_static_pass_latent_001,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_002,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_003,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_004,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_005,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_006,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_007,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_008,CH_static_pass_latent,1,static_pass_early_drift
CH_static_pass_latent_009,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_010,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_011,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_012,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_013,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_014,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_015,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_016,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_017,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_018,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_019,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_020,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_021,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_022,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_023,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_024,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_025,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_026,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_027,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_028,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_029,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_030,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_031,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_032,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_033,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_034,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_035,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_036,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_037,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_038,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_039,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_040,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_041,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_042,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_043,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_044,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_045,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_046,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_047,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_048,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_049,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_050,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_051,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_052,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_053,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_054,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_055,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_056,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_057,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_058,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_059,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_060,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_061,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_062,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_063,CH_static_pass_latent,0,ordinary_control
CH_static_pass_latent_064,CH_static_pass_latent,0,ordinary_control
CH_low_start_late_drifter_001,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_002,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_003,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_004,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_005,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_006,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_007,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_008,CH_low_start_late_drifter,1,late_onset_drift
CH_low_start_late_drifter_009,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_010,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_011,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_012,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_013,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_014,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_015,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_016,CH_low_start_late_drifter,0,ordinary_control
CH_low_start_late_drifter_017,CH_low_start_late_drifter,0,ordinary_control
