component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h
CH_static_pass_latent_001,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.561112,1.577625,1.61273,1.611745,0.014519,0.01456,0.014238,0.015687,89.64824,88.891281,90.316216,90.435396,9.829089,10.16376,10.103189,10.108089,7.815653,9.308793,12.202865,14.668863,7.672571,7.629979,7.823662,7.959756
CH_static_pass_latent_002,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.611698,1.576292,1.606476,1.5962,0.017369,0.017793,0.017568,0.018724,92.194143,92.736006,93.959528,95.477309,8.146452,8.149265,8.233528,8.197124,7.800255,9.291911,12.202213,14.670308,8.563389,8.558934,8.503398,8.885358
CH_static_pass_latent_003,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.606212,1.577604,1.638328,1.636027,0.025214,0.024563,0.025957,0.025631,93.748726,94.383502,95.09649,96.780596,8.94606,8.953337,9.030184,9.175564,7.778454,9.264599,12.238766,14.678011,6.266665,6.414701,6.358823,6.488965
CH_static_pass_latent_004,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.37532,1.373297,1.393609,1.408623,0.019273,0.020628,0.019743,0.019815,92.618679,92.773088,93.869182,94.851241,10.008227,9.909266,10.1666,10.386209,7.831384,9.299595,12.217578,14.69513,6.825677,6.818457,7.079759,7.247642
CH_static_pass_latent_005,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.612047,1.612411,1.628368,1.664872,0.020213,0.020757,0.02012,0.02118,84.482655,83.657988,84.9414,85.311537,8.3541,8.348776,8.425127,8.646007,7.833361,9.264729,12.204816,14.705431,7.221095,7.122811,7.358976,7.154327
CH_static_pass_latent_006,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.652647,1.636936,1.685145,1.685969,0.015536,0.014951,0.015004,0.01558,93.446981,93.395283,95.642408,96.765216,8.671771,8.464676,8.805302,8.792149,7.817014,9.265326,12.175501,14.725023,7.666585,7.567393,7.749999,7.860144
CH_static_pass_latent_007,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.652866,1.670902,1.685595,1.655961,0.019355,0.018392,0.019083,0.019352,88.168929,89.61336,89.660377,91.009573,10.077475,10.235027,10.013077,10.350099,7.774706,9.262418,12.237187,14.687733,8.02863,7.906823,8.086244,8.239472
CH_static_pass_latent_008,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.530808,1.522245,1.567198,1.569049,0.023417,0.023612,0.023008,0.023756,89.611975,89.361685,90.197974,90.10557,8.798086,8.613729,8.90565,9.051802,7.839808,9.309095,12.205668,14.738655,8.590228,8.483348,8.564016,8.619058
CH_static_pass_latent_009,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.88745,1.888014,1.915226,1.911112,0.022266,0.023085,0.023018,0.023668,92.794643,93.22909,94.626214,95.593167,8.745096,8.667911,8.80868,8.833131,7.512939,7.506437,7.72489,7.797343,7.956724,7.92436,8.118636,8.109542
CH_static_pass_latent_010,CH_static_pass_latent,DIGITAL_CMOS,CMOS_A,1.470513,1.476392,1.48551,1.538279,0.023673,0.023794,0.024448,0.024052,91.705611,92.344165,93.488171,93.578843,9.286754,9.456852,9.61031,9.608984,7.368008,7.579996,7.446667,7.589418,7.12556,7.134069,7.452291,7.500429
