component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h
PEER_BASELINE_CORRUPTION_001,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.552432,4.0,5.5,8.0,0.026077,0.027066,0.028526,0.030926,84.617921,85.43138,86.207573,87.923703,8.522235,8.593447,8.545065,8.631875,7.683874,7.634435,7.687053,7.780622,7.696743,7.683961,7.659261,7.735198
PEER_BASELINE_CORRUPTION_002,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.852637,4.0,5.5,8.0,0.031201,0.031314,0.032238,0.032832,90.628124,90.473263,90.270578,91.167367,9.32065,9.322506,9.428226,9.492231,7.578387,7.583135,7.712016,7.705329,7.502123,7.42318,7.460813,7.526566
PEER_BASELINE_CORRUPTION_003,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.482589,4.0,5.5,8.0,0.013367,0.013776,0.014302,0.014436,81.659258,81.918659,82.019244,82.714401,9.13944,9.22524,9.417385,9.610485,8.086665,8.235248,8.311901,8.434509,7.920424,8.028022,8.230223,8.376064
PEER_BASELINE_CORRUPTION_004,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.199789,4.0,5.5,8.0,0.010749,0.010938,0.011226,0.011088,77.53311,77.650509,77.958738,77.994143,9.569204,9.580026,9.801917,9.948246,8.16427,8.238008,8.371708,8.405655,8.100352,8.259265,8.357333,8.389041
PEER_BASELINE_CORRUPTION_005,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.100764,4.0,5.5,8.0,0.0211,0.022108,0.023921,0.025774,79.547414,80.807858,82.203778,84.230349,9.40061,9.560865,9.683119,9.78509,7.913823,7.947477,8.043235,8.056019,8.032283,8.034878,8.297046,8.363675
PEER_BASELINE_CORRUPTION_006,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.458198,4.0,5.5,8.0,0.024163,0.025545,0.026657,0.027505,87.778334,88.131182,89.675813,90.729573,9.087246,9.062957,9.180015,9.175518,7.705113,7.738609,7.792905,7.726674,7.476856,7.533602,7.641951,7.63352
PEER_BASELINE_CORRUPTION_007,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.424051,4.0,5.5,8.0,0.017972,0.018039,0.018232,0.018397,80.466627,80.943302,80.50537,81.728881,8.756775,8.862029,9.158767,9.261629,7.97229,8.023714,8.123144,8.320831,7.496191,7.588873,7.844475,7.90524
PEER_BASELINE_CORRUPTION_008,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.368071,4.0,5.5,8.0,0.023468,0.025224,0.026353,0.027372,89.694929,90.42488,90.633919,91.530518,8.831232,8.888498,9.124707,9.316902,7.813591,7.909385,7.996195,8.219573,7.457895,7.559442,7.761183,7.866099
PEER_BASELINE_CORRUPTION_009,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.734111,4.0,5.5,8.0,0.020171,0.021604,0.023144,0.024148,85.734977,87.530736,88.031204,89.077131,9.779987,9.808589,9.931323,9.986247,8.223817,8.21208,8.327636,8.480395,7.92671,7.990879,8.221415,8.321677
PEER_BASELINE_CORRUPTION_010,PEER_BASELINE_CORRUPTION,DIGITAL_CMOS,CMOS_A,1.493656,4.0,5.5,8.0,0.025241,0.025787,0.026515,0.026803,83.650403,83.942109,85.284604,85.150797,9.229061,9.257758,9.33567,9.39416,7.906243,7.899493,7.913102,7.923458,7.733796,7.79514,7.809619,7.876605
