lot_id,device_variant,split,component_count
A_L01,CMOS_A,TRAIN,78
A_L02,CMOS_A,TRAIN,79
A_L03,CMOS_A,HOLDOUT,70
A_L04,CMOS_A,HOLDOUT,69
A_L05,CMOS_A,HOLDOUT,81
A_L06,CMOS_A,HOLDOUT,73
A_L07,CMOS_A,TRAIN,70
A_L08,CMOS_A,TRAIN,74
A_L09,CMOS_A,HOLDOUT,74
A_L10,CMOS_A,CALIBRATION,82
A_L11,CMOS_A,TRAIN,76
A_L12,CMOS_A,CALIBRATION,72
A_L13,CMOS_A,TRAIN,81
A_L14,CMOS_A,TRAIN,70
A_L15,CMOS_A,TRAIN,72
A_L16,CMOS_A,TRAIN,78
A_L17,CMOS_A,TRAIN,81
A_L18,CMOS_A,CALIBRATION,79
A_L19,CMOS_A,TRAIN,74
A_L20,CMOS_A,TRAIN,70
A_L21,CMOS_A,TRAIN,74
A_L22,CMOS_A,HOLDOUT,74
A_L23,CMOS_A,TRAIN,74
A_L24,CMOS_A,CALIBRATION,75
B_L01,CMOS_B,TRAIN,70
B_L02,CMOS_B,TRAIN,78
B_L03,CMOS_B,HOLDOUT,72
B_L04,CMOS_B,HOLDOUT,82
B_L05,CMOS_B,TRAIN,72
B_L06,CMOS_B,TRAIN,76
B_L07,CMOS_B,TRAIN,73
B_L08,CMOS_B,TRAIN,78
B_L09,CMOS_B,HOLDOUT,71
B_L10,CMOS_B,TRAIN,80
B_L11,CMOS_B,CALIBRATION,72
B_L12,CMOS_B,HOLDOUT,73
B_L13,CMOS_B,CALIBRATION,77
B_L14,CMOS_B,TRAIN,68
B_L15,CMOS_B,TRAIN,72
B_L16,CMOS_B,TRAIN,74
B_L17,CMOS_B,TRAIN,82
B_L18,CMOS_B,HOLDOUT,81
B_L19,CMOS_B,TRAIN,70
B_L20,CMOS_B,HOLDOUT,79
B_L21,CMOS_B,TRAIN,70
B_L22,CMOS_B,CALIBRATION,80
B_L23,CMOS_B,CALIBRATION,72
B_L24,CMOS_B,TRAIN,78
C_L01,CMOS_C,HOLDOUT,73
C_L02,CMOS_C,TRAIN,76
C_L03,CMOS_C,TRAIN,71
C_L04,CMOS_C,TRAIN,80
C_L05,CMOS_C,CALIBRATION,70
C_L06,CMOS_C,HOLDOUT,82
C_L07,CMOS_C,TRAIN,80
C_L08,CMOS_C,CALIBRATION,79
C_L09,CMOS_C,TRAIN,74
C_L10,CMOS_C,TRAIN,68
C_L11,CMOS_C,TRAIN,69
C_L12,CMOS_C,HOLDOUT,71
C_L13,CMOS_C,TRAIN,80
C_L14,CMOS_C,HOLDOUT,70
C_L15,CMOS_C,TRAIN,75
C_L16,CMOS_C,CALIBRATION,74
C_L17,CMOS_C,TRAIN,81
C_L18,CMOS_C,TRAIN,78
C_L19,CMOS_C,CALIBRATION,74
C_L20,CMOS_C,HOLDOUT,69
C_L21,CMOS_C,TRAIN,71
C_L22,CMOS_C,TRAIN,76
C_L23,CMOS_C,HOLDOUT,79
C_L24,CMOS_C,TRAIN,80
