component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h
DEMO_C00001,DEMO_A,DIGITAL_CMOS,CMOS_A,1.408087,1.424752,1.453868,1.487606,0.011829,0.012731,0.013446,0.013738,87.884655,87.744366,88.863982,88.947445,10.018188,10.162009,10.144831,10.223706,14.978218,15.944729,15.560295,16.37718,8.203012,8.195852,8.287179,8.217509
DEMO_C00002,DEMO_A,DIGITAL_CMOS,CMOS_A,1.552432,1.559156,1.611616,1.632706,0.026077,0.027066,0.028526,0.030926,84.617921,85.43138,86.207573,87.923703,8.522235,8.593447,8.545065,8.631875,7.683874,7.634435,7.687053,7.780622,7.696743,7.683961,7.659261,7.735198
DEMO_C00003,DEMO_A,DIGITAL_CMOS,CMOS_A,1.852637,1.817498,1.827629,1.872465,0.031201,0.031314,0.032238,0.032832,90.628124,90.473263,90.270578,91.167367,9.32065,9.322506,9.428226,9.492231,7.578387,7.583135,7.712016,7.705329,7.502123,7.42318,7.460813,7.526566
DEMO_C00004,DEMO_A,DIGITAL_CMOS,CMOS_A,1.482589,1.484211,1.5052,1.514035,0.013367,0.013776,0.014302,0.014436,81.659258,81.918659,82.019244,82.714401,9.13944,9.22524,9.417385,9.610485,8.086665,8.235248,8.311901,8.434509,7.920424,8.028022,8.230223,8.376064
DEMO_C00005,DEMO_A,DIGITAL_CMOS,CMOS_A,1.199789,1.203264,1.228194,1.217327,0.010749,0.010938,0.011226,0.011088,77.53311,77.650509,77.958738,77.994143,9.569204,9.580026,9.801917,9.948246,8.16427,8.238008,8.371708,8.405655,8.100352,8.259265,8.357333,8.389041
DEMO_C00006,DEMO_A,DIGITAL_CMOS,CMOS_A,1.100764,1.117601,1.133161,1.143856,0.0211,0.022108,0.023921,0.025774,79.547414,80.807858,82.203778,84.230349,9.40061,9.560865,9.683119,9.78509,7.913823,7.947477,8.043235,8.056019,8.032283,8.034878,8.297046,8.363675
DEMO_C00007,DEMO_A,DIGITAL_CMOS,CMOS_A,1.458198,1.483895,1.463437,1.513994,0.024163,0.025545,0.026657,0.027505,87.778334,88.131182,89.675813,90.729573,9.087246,9.062957,9.180015,9.175518,7.705113,7.738609,7.792905,7.726674,7.476856,7.533602,7.641951,7.63352
DEMO_C00008,DEMO_A,DIGITAL_CMOS,CMOS_A,1.296638,1.313616,1.330684,1.327752,0.025474,0.025609,0.026349,0.025843,85.042752,84.663864,85.556157,86.414396,9.998184,10.07855,10.205735,10.258432,8.389518,8.401041,8.479109,8.635658,7.754129,7.844842,8.039854,8.199069
DEMO_C00009,DEMO_A,DIGITAL_CMOS,CMOS_A,1.424051,1.412,1.433996,1.433322,0.017972,0.018039,0.018232,0.018397,80.466627,80.943302,80.50537,81.728881,8.756775,8.862029,9.158767,9.261629,7.97229,8.023714,8.123144,8.320831,7.496191,7.588873,7.844475,7.90524
DEMO_C00010,DEMO_A,DIGITAL_CMOS,CMOS_A,1.368071,1.380377,1.418612,1.427948,0.023468,0.025224,0.026353,0.027372,89.694929,90.42488,90.633919,91.530518,8.831232,8.888498,9.124707,9.316902,7.813591,7.909385,7.996195,8.219573,7.457895,7.559442,7.761183,7.866099
DEMO_C00011,DEMO_A,DIGITAL_CMOS,CMOS_A,1.734111,1.730531,1.778396,1.757332,0.020171,0.021604,0.023144,0.024148,85.734977,87.530736,88.031204,89.077131,9.779987,9.808589,9.931323,9.986247,8.223817,8.21208,8.327636,8.480395,7.92671,7.990879,8.221415,8.321677
DEMO_C00012,DEMO_A,DIGITAL_CMOS,CMOS_A,1.493656,1.484359,1.471595,1.459988,0.025241,0.025787,0.026515,0.026803,83.650403,83.942109,85.284604,85.150797,9.229061,9.257758,9.33567,9.39416,7.906243,7.899493,7.913102,7.923458,7.733796,7.79514,7.809619,7.876605
DEMO_C00013,DEMO_A,DIGITAL_CMOS,CMOS_A,1.337681,1.333689,1.374117,1.377412,0.024405,0.02624,0.02778,0.028495,90.366621,91.421108,90.826578,92.424623,9.706072,9.780277,10.181284,10.478386,7.908597,7.970355,8.141395,8.371513,7.405253,7.498868,7.627443,7.861865
DEMO_C00014,DEMO_A,DIGITAL_CMOS,CMOS_A,1.865717,1.86813,1.881126,1.858556,0.019764,0.020518,0.021229,0.02165,82.560832,83.612485,84.131058,83.400786,8.727541,8.863836,9.093117,9.20415,7.509916,7.527599,7.617505,7.777731,7.399983,7.548146,7.713711,7.829275
DEMO_C00015,DEMO_A,DIGITAL_CMOS,CMOS_A,1.233709,1.256027,1.251844,1.273047,0.018301,0.018742,0.020648,0.022083,86.582849,86.70703,87.911586,89.619954,9.09977,9.071843,9.029175,9.07864,7.728054,7.708932,7.698996,7.750362,7.410344,7.447115,7.501568,7.464216
DEMO_C00016,DEMO_A,DIGITAL_CMOS,CMOS_A,1.441426,1.47096,1.476072,1.456038,0.013743,0.015242,0.015853,0.016526,88.563185,89.20368,89.854756,90.415553,9.23252,9.306601,9.541125,9.65942,8.247974,8.223369,8.479462,8.646271,8.076084,8.160228,8.570973,8.909143
DEMO_C00017,DEMO_A,DIGITAL_CMOS,CMOS_A,1.536566,1.534851,1.557471,1.537763,0.020588,0.020976,0.021775,0.022483,87.96276,88.198937,89.876612,89.665127,8.458308,8.532085,8.846529,9.219188,7.216836,7.240348,7.429073,7.684635,7.130255,7.167733,7.420031,7.599227
DEMO_C00018,DEMO_A,DIGITAL_CMOS,CMOS_A,1.875524,1.907134,1.943181,1.92609,0.017656,0.018931,0.020195,0.0206,87.962925,88.201374,88.852612,90.257419,9.104177,9.19535,9.309334,9.46098,7.623156,7.683839,7.719555,7.805145,7.206741,7.383562,7.49975,7.716511
DEMO_C00019,DEMO_A,DIGITAL_CMOS,CMOS_A,1.564614,1.589847,1.633478,1.683972,0.020199,0.020697,0.02186,0.022963,81.109468,81.246219,83.222728,85.091359,9.516519,9.490445,9.506015,9.673435,8.30819,8.315742,8.303994,8.338386,8.336256,8.370758,8.392699,8.368881
DEMO_C00020,DEMO_A,DIGITAL_CMOS,CMOS_A,1.316957,1.294449,1.345833,1.331509,0.013773,0.014153,0.015164,0.015075,87.568936,88.704121,89.313327,89.875432,9.465907,9.492181,9.538285,9.572138,8.345373,8.364425,8.427345,8.533233,7.878065,7.885528,7.936785,7.946293
DEMO_C00021,DEMO_A,DIGITAL_CMOS,CMOS_A,1.558732,1.537521,1.595731,1.674486,0.019502,0.020184,0.021804,0.02309,90.008069,90.055655,90.8265,92.481227,8.538054,8.560819,8.600894,8.633184,6.876744,6.881921,6.86284,6.940391,7.43434,7.391225,7.428626,7.498735
DEMO_C00022,DEMO_A,DIGITAL_CMOS,CMOS_A,1.24679,1.25452,1.236122,1.276575,0.032182,0.034165,0.035985,0.037629,84.011341,84.17311,84.553193,85.181211,9.237689,9.30857,9.563952,9.718334,7.623904,7.794074,7.86523,7.930096,7.447559,7.629386,7.710823,7.771955
DEMO_C00023,DEMO_A,DIGITAL_CMOS,CMOS_A,1.289514,1.320113,1.315966,1.321972,0.02558,0.026531,0.026323,0.026789,86.752053,86.290063,87.1101,86.848424,9.155239,9.280702,9.321547,9.405083,8.216399,8.093575,8.074855,8.14529,7.449176,7.428506,7.494417,7.405089
DEMO_C00024,DEMO_A,DIGITAL_CMOS,CMOS_A,1.387893,1.399172,1.448988,1.474147,0.015411,0.01608,0.017113,0.018066,80.070105,79.511761,80.636731,81.910811,9.129418,9.252556,10.01697,11.492919,8.40687,8.482276,8.528631,8.691174,7.874307,7.91967,8.121271,8.204356
DEMO_C00025,DEMO_A,DIGITAL_CMOS,CMOS_A,1.510786,1.535088,1.544001,1.525876,0.019781,0.020146,0.021255,0.021593,82.367963,82.21496,82.553133,83.88058,8.417636,8.522967,8.662477,8.815883,7.319797,7.347522,7.529901,7.722823,7.361353,7.391339,7.658487,7.955287
DEMO_C00026,DEMO_A,DIGITAL_CMOS,CMOS_A,1.818559,1.850666,1.861815,1.896349,0.028768,0.030861,0.032033,0.032933,99.780559,100.654328,101.762782,102.79369,8.749118,8.789546,8.843061,8.821757,7.466138,7.411085,7.478723,7.510081,7.792516,7.876356,7.881051,7.863763
DEMO_C00027,DEMO_A,DIGITAL_CMOS,CMOS_A,1.071294,1.075512,1.077042,1.09086,0.011163,0.011819,0.012611,0.012961,78.705662,79.113082,80.770178,81.175879,9.483216,9.515282,9.487626,9.557979,8.582874,8.600561,8.70257,8.677126,8.496715,8.442841,8.53112,8.482266
DEMO_C00028,DEMO_A,DIGITAL_CMOS,CMOS_A,1.436594,1.418956,1.441618,1.43931,0.010359,0.010445,0.010863,0.011164,89.626835,89.724651,89.852722,90.789191,8.895043,8.909745,8.955786,9.013478,7.633569,7.661194,7.655446,7.703126,7.912337,8.052783,8.044604,8.065809
DEMO_C00029,DEMO_A,DIGITAL_CMOS,CMOS_A,1.664833,1.678051,1.684037,1.692391,0.016332,0.016613,0.017282,0.017479,91.977791,92.708152,92.900536,92.646363,9.152429,9.189686,9.266241,9.285556,8.214698,8.192291,8.228981,8.208367,8.003746,7.99182,8.054295,8.036958
DEMO_C00030,DEMO_A,DIGITAL_CMOS,CMOS_A,1.522104,1.49998,1.534615,1.513946,0.014955,0.015176,0.015665,0.016149,81.772093,82.049523,81.722727,82.738509,8.769459,8.782885,8.786868,8.809859,7.271388,7.331879,7.335836,7.379567,7.093888,7.1416,7.234193,7.164668
DEMO_C00031,DEMO_A,DIGITAL_CMOS,CMOS_A,1.664441,1.646111,1.69829,1.706782,0.019652,0.019878,0.020624,0.020992,86.748809,86.656594,86.780659,87.070059,9.146852,9.177664,9.161891,9.323225,7.817614,7.841165,7.917751,7.919114,7.609481,7.609658,7.62962,7.717175
DEMO_C00032,DEMO_A,DIGITAL_CMOS,CMOS_A,1.662791,1.64806,1.695544,1.726907,0.017539,0.018042,0.018976,0.019566,85.636734,84.596278,85.605393,86.660258,9.415128,9.509495,9.740802,9.922632,8.139712,8.194605,8.260435,8.437081,7.188487,7.255478,7.423233,7.59982
DEMO_C00033,DEMO_A,DIGITAL_CMOS,CMOS_A,1.129948,1.138121,1.137683,1.133112,0.0153,0.015394,0.015537,0.015792,83.683119,84.459773,84.870631,84.862194,8.86115,8.923666,9.088593,9.118904,8.285077,8.25259,8.38667,8.53334,7.551159,7.641068,7.647571,7.76387
DEMO_C00034,DEMO_A,DIGITAL_CMOS,CMOS_A,1.42926,1.452525,1.474777,1.531446,0.019653,0.020709,0.021765,0.022659,84.884488,85.469769,86.438508,87.215244,8.545428,8.613069,8.600412,8.632912,7.630828,7.670294,7.75044,7.754859,7.49068,7.557892,7.566611,7.606295
DEMO_C00035,DEMO_A,DIGITAL_CMOS,CMOS_A,1.15605,1.175256,1.193822,1.221214,0.019987,0.021096,0.023386,0.024998,87.967643,88.7788,89.560014,91.47501,8.964136,9.018378,9.278787,9.496808,8.030955,8.089516,8.196608,8.44303,7.671015,7.762377,8.000054,8.312399
DEMO_C00036,DEMO_A,DIGITAL_CMOS,CMOS_A,1.732443,1.752186,1.786593,1.803522,0.019985,0.020494,0.021429,0.022008,89.947375,90.417049,91.510221,92.45483,9.398921,9.413262,9.506945,9.445836,7.929466,7.951265,8.013089,7.939198,8.107814,7.97046,8.054892,8.12275
DEMO_C00037,DEMO_A,DIGITAL_CMOS,CMOS_A,1.430142,1.480447,1.848022,2.537781,0.023734,0.024414,0.026607,0.02822,88.6644,88.451919,93.1334,101.647155,9.382581,9.550893,9.683007,9.720754,8.383826,8.4543,8.665783,8.770963,8.024393,8.141898,8.328299,8.480413
DEMO_C00038,DEMO_A,DIGITAL_CMOS,CMOS_A,1.854878,1.888628,1.947646,2.061388,0.019198,0.020137,0.022548,0.025042,85.612983,86.538615,90.752494,95.392156,9.213642,9.231909,9.206041,9.364413,7.407746,7.474109,7.414745,7.417771,7.829576,7.872795,7.95669,7.898368
DEMO_C00039,DEMO_A,DIGITAL_CMOS,CMOS_A,1.83254,1.788286,1.819098,1.844184,0.027036,0.02814,0.029854,0.030655,79.311134,80.13054,81.226765,81.519594,9.056998,9.242806,9.462377,9.701344,8.103572,8.185981,8.354066,8.441805,7.968631,8.064287,8.219077,8.38169
DEMO_C00040,DEMO_A,DIGITAL_CMOS,CMOS_A,1.403877,1.397501,1.448172,1.483217,0.011709,0.012257,0.013145,0.013963,83.688214,82.841345,85.302189,85.581392,8.681765,8.732799,8.748068,8.775011,7.732105,7.757777,7.703601,7.782602,7.412192,7.458091,7.534876,7.527629
DEMO_C00041,DEMO_A,DIGITAL_CMOS,CMOS_A,1.626189,1.637245,1.628414,1.643721,0.021593,0.021938,0.022388,0.022439,83.48968,83.457923,84.169185,84.739214,9.204275,9.370591,9.539568,9.830066,7.88806,7.970205,8.09871,8.262516,8.139329,8.232104,8.325019,8.602633
DEMO_C00042,DEMO_A,DIGITAL_CMOS,CMOS_A,1.280009,1.272759,1.297233,1.306419,0.021038,0.02153,0.022509,0.02296,79.109873,80.309852,80.735444,81.093896,8.451887,8.516236,8.529012,8.569269,7.43125,7.36112,7.38866,7.493279,7.199299,7.1498,7.265539,7.241956
DEMO_C00043,DEMO_A,DIGITAL_CMOS,CMOS_A,1.933074,1.943762,1.959692,1.940737,0.022742,0.022848,0.023175,0.022983,94.104516,94.455614,95.463349,95.056584,8.632308,8.718484,8.931349,9.040709,7.357608,7.460345,7.544851,7.581121,6.909613,6.969892,7.193258,7.244868
DEMO_C00044,DEMO_A,DIGITAL_CMOS,CMOS_A,1.517103,1.530718,1.50993,1.54417,0.016735,0.017644,0.018655,0.018997,80.17779,80.073875,81.586489,81.596196,9.49722,9.509368,9.760363,9.768065,8.621107,8.704729,8.847981,8.970544,7.854695,7.923596,8.107284,8.125409
DEMO_C00045,DEMO_A,DIGITAL_CMOS,CMOS_A,1.350145,1.391087,1.398245,1.407614,0.016063,0.016815,0.01754,0.017959,91.130097,91.009724,91.25243,91.958616,8.849467,8.876632,8.810276,8.900033,7.768806,7.797887,7.85623,7.845518,6.89844,6.962781,6.951413,6.996616
DEMO_C00046,DEMO_A,DIGITAL_CMOS,CMOS_A,1.560808,1.608229,1.639021,1.654727,0.018522,0.020266,0.021323,0.021763,84.838317,86.919981,87.938667,89.011249,9.333523,9.4554,9.557148,9.667022,7.867817,7.90039,7.961817,8.085514,8.043583,8.274591,8.375399,8.536978
DEMO_C00047,DEMO_A,DIGITAL_CMOS,CMOS_A,1.24918,1.240624,1.230987,1.25132,0.013688,0.013713,0.013987,0.014597,87.808819,87.445336,87.505718,87.488547,8.792877,8.841464,8.918842,8.98688,7.495445,7.560741,7.654242,7.738335,6.866343,7.050672,7.176651,7.270032
DEMO_C00048,DEMO_A,DIGITAL_CMOS,CMOS_A,1.555477,1.582662,1.612571,1.596139,0.017531,0.018828,0.019531,0.020022,94.396251,94.302134,95.194897,97.207807,9.816746,9.769261,9.737469,9.735807,8.271401,8.348149,8.361957,8.427259,7.599695,7.679551,7.703315,7.830143
DEMO_C00049,DEMO_A,DIGITAL_CMOS,CMOS_A,1.724828,1.729424,1.735581,1.747119,0.032331,0.033016,0.03337,0.033843,81.921123,81.723307,82.159322,82.557288,9.066659,9.140439,9.10579,9.170114,8.337827,8.335605,8.405259,8.443801,7.853539,7.816539,7.87708,7.985074
DEMO_C00050,DEMO_A,DIGITAL_CMOS,CMOS_A,1.324901,1.350952,1.352435,1.396321,0.018861,0.020712,0.021725,0.022552,74.068447,74.307013,75.011701,76.474135,9.381205,9.502901,9.739574,9.897488,7.509339,7.54099,7.754585,7.809584,7.339289,7.463694,7.632221,7.864395
DEMO_C00051,DEMO_A,DIGITAL_CMOS,CMOS_A,1.365786,1.375799,1.356765,1.358888,0.023669,0.024316,0.024919,0.025282,88.304422,88.976438,89.571538,90.150231,8.747538,8.830913,9.219355,9.543528,8.162462,8.302411,8.47371,8.708353,7.63349,7.670148,7.985904,8.244878
DEMO_C00052,DEMO_A,DIGITAL_CMOS,CMOS_A,1.462099,1.474815,1.481082,1.50452,0.019921,0.020009,0.02038,0.02096,88.988434,88.905355,91.099766,91.027683,9.339483,9.428718,9.608516,9.63225,7.27356,7.383205,7.424032,7.533679,7.542677,7.709831,7.833973,7.92033
DEMO_C00053,DEMO_A,DIGITAL_CMOS,CMOS_A,1.658986,1.674857,1.64634,1.626816,0.013038,0.013319,0.01367,0.013595,91.651154,92.020272,92.77423,92.391906,9.626245,9.798971,10.00591,10.09763,8.809414,8.837691,8.947775,9.086221,8.32956,8.475333,8.580268,8.814914
DEMO_C00054,DEMO_A,DIGITAL_CMOS,CMOS_A,1.627883,1.634212,1.612088,1.656524,0.022678,0.022735,0.023074,0.023833,88.439439,88.362266,88.770255,88.131282,9.431654,9.432259,9.593871,9.483516,8.098281,8.132455,8.098563,8.117437,7.5549,7.506724,7.61097,7.676431
DEMO_C00055,DEMO_A,DIGITAL_CMOS,CMOS_A,1.396922,1.387448,1.398715,1.413437,0.017397,0.01815,0.019639,0.021361,90.141468,89.86809,90.686686,92.976143,9.251535,9.326699,9.64135,9.831611,7.649871,7.693588,7.841752,8.110679,7.740324,7.839322,8.199272,8.4465
DEMO_C00056,DEMO_A,DIGITAL_CMOS,CMOS_A,1.392829,1.374742,1.424712,1.463076,0.016538,0.01718,0.018311,0.019366,82.33251,82.213557,83.289008,84.711772,9.085354,9.15516,9.162461,9.163113,7.787303,7.764571,7.79508,7.858818,7.535603,7.602174,7.563904,7.574024
DEMO_C00057,DEMO_A,DIGITAL_CMOS,CMOS_A,1.587858,1.601984,1.606641,1.632409,0.019891,0.01998,0.020703,0.021112,93.61389,94.25385,94.918572,94.713165,8.943497,8.971411,8.958349,9.015736,8.205071,8.236579,8.272175,8.338238,7.669893,7.659757,7.712278,7.665551
