component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Active_Supply_Current_0h,Active_Supply_Current_24h,Propagation_Delay_0h,Propagation_Delay_24h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Fall_Time_0h,Output_Fall_Time_24h
DEMO_C00001,DEMO_A,DIGITAL_CMOS,CMOS_A,1.408087,1.424752,0.011829,0.012731,87.884655,87.744366,10.018188,10.162009,14.978218,15.944729,8.203012,8.195852
DEMO_C00002,DEMO_A,DIGITAL_CMOS,CMOS_A,1.552432,1.559156,0.026077,0.027066,84.617921,85.43138,8.522235,8.593447,7.683874,7.634435,7.696743,7.683961
DEMO_C00003,DEMO_A,DIGITAL_CMOS,CMOS_A,1.852637,1.817498,0.031201,0.031314,90.628124,90.473263,9.32065,9.322506,7.578387,7.583135,7.502123,7.42318
DEMO_C00004,DEMO_A,DIGITAL_CMOS,CMOS_A,1.482589,1.484211,0.013367,0.013776,81.659258,81.918659,9.13944,9.22524,8.086665,8.235248,7.920424,8.028022
DEMO_C00005,DEMO_A,DIGITAL_CMOS,CMOS_A,1.199789,1.203264,0.010749,0.010938,77.53311,77.650509,9.569204,9.580026,8.16427,8.238008,8.100352,8.259265
DEMO_C00006,DEMO_A,DIGITAL_CMOS,CMOS_A,1.100764,1.117601,0.0211,0.022108,79.547414,80.807858,9.40061,9.560865,7.913823,7.947477,8.032283,8.034878
DEMO_C00007,DEMO_A,DIGITAL_CMOS,CMOS_A,1.458198,1.483895,0.024163,0.025545,87.778334,88.131182,9.087246,9.062957,7.705113,7.738609,7.476856,7.533602
DEMO_C00008,DEMO_A,DIGITAL_CMOS,CMOS_A,1.296638,1.313616,0.025474,0.025609,85.042752,84.663864,9.998184,10.07855,8.389518,8.401041,7.754129,7.844842
DEMO_C00009,DEMO_A,DIGITAL_CMOS,CMOS_A,1.424051,1.412,0.017972,0.018039,80.466627,80.943302,8.756775,8.862029,7.97229,8.023714,7.496191,7.588873
DEMO_C00010,DEMO_A,DIGITAL_CMOS,CMOS_A,1.368071,1.380377,0.023468,0.025224,89.694929,90.42488,8.831232,8.888498,7.813591,7.909385,7.457895,7.559442
DEMO_C00011,DEMO_A,DIGITAL_CMOS,CMOS_A,1.734111,1.730531,0.020171,0.021604,85.734977,87.530736,9.779987,9.808589,8.223817,8.21208,7.92671,7.990879
