component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h
C01415,A_L19,DIGITAL_CMOS,CMOS_A,1.48461,1.494421,1.553854,1.59981,0.013004,0.013489,0.014551,0.015503,91.739096,93.138382,95.841623,98.283829,8.752504,8.664836,8.714614,8.686915,7.971052,7.949002,7.978838,7.967622,7.569941,7.582439,7.682759,7.617432
C01024,A_L14,DIGITAL_CMOS,CMOS_A,1.578941,1.609791,1.656679,1.671765,0.017355,0.018338,0.0192,0.01997,93.462561,93.538796,95.37665,96.089708,9.132729,9.15471,9.191613,9.291493,7.66929,7.597402,7.614873,7.581639,7.192111,7.186953,7.259033,7.334496
C01406,A_L19,DIGITAL_CMOS,CMOS_A,1.304972,1.32517,1.461022,1.549209,0.02446,0.02507,0.026228,0.027416,95.348185,94.921644,97.405625,97.867511,8.878199,8.871987,8.890486,8.977219,7.942948,7.829859,7.88613,7.89866,7.580923,7.57775,7.649538,7.607669
C00790,A_L11,DIGITAL_CMOS,CMOS_A,1.799067,1.851935,1.884284,1.927744,0.020207,0.020512,0.021111,0.021586,95.583825,96.518121,98.066571,97.893244,8.570644,8.629711,8.842822,9.229466,8.204279,8.268085,8.234326,8.49141,7.474262,7.535237,7.609663,7.652897
C00048,A_L01,DIGITAL_CMOS,CMOS_A,1.555477,1.582662,1.612571,1.596139,0.017531,0.018828,0.019531,0.020022,94.396251,94.302134,95.194897,97.207807,9.816746,9.769261,9.737469,9.735807,8.271401,8.348149,8.361957,8.427259,7.599695,7.679551,7.703315,7.830143
C01107,A_L15,DIGITAL_CMOS,CMOS_A,1.843271,1.858013,1.863842,1.87424,0.031851,0.032294,0.033053,0.032941,90.04213,90.312144,91.349378,91.355138,8.784783,8.812537,8.822578,8.898125,7.678776,7.729171,7.953364,8.009724,7.437555,7.576671,7.610948,7.775221
C00555,A_L08,DIGITAL_CMOS,CMOS_A,1.388763,1.406322,1.411898,1.438715,0.015691,0.015884,0.016051,0.016047,89.323335,88.605718,89.189036,88.768528,9.081662,9.149152,9.109945,9.10137,8.524605,8.6446,8.591209,8.536875,6.672165,6.731301,6.720731,6.789337
C01194,A_L16,DIGITAL_CMOS,CMOS_A,1.19686,1.208168,1.243643,1.257917,0.018026,0.018643,0.019574,0.019796,88.103761,89.901074,92.271934,93.191783,9.292456,9.341677,9.299122,9.220845,8.401138,8.393016,8.481595,8.394987,6.997454,6.976056,7.022997,7.082867
C01448,A_L20,DIGITAL_CMOS,CMOS_A,1.398417,1.441482,1.508361,1.527261,0.023606,0.024115,0.024232,0.024893,91.143668,90.743427,93.216513,91.795094,9.241537,9.360234,9.635165,9.838597,8.354888,8.411309,8.737533,9.092558,7.836403,7.958271,8.494055,9.048099
C00915,A_L13,DIGITAL_CMOS,CMOS_A,0.980188,0.96849,0.955667,0.982015,0.01786,0.017914,0.018204,0.018449,80.760084,80.507114,80.985378,81.265171,8.351008,8.396434,8.426124,8.452594,7.340806,7.405281,7.446615,7.481163,6.798844,6.837582,6.946715,7.06813
C01450,A_L20,DIGITAL_CMOS,CMOS_A,1.366575,1.365989,1.372539,1.406497,0.018642,0.018438,0.018561,0.018458,89.409325,89.640486,89.38077,89.193339,9.135898,9.12022,9.213097,9.260505,9.027656,9.07461,9.191706,9.137646,7.526562,7.557071,7.503806,7.57063
C00095,A_L02,DIGITAL_CMOS,CMOS_A,2.111444,2.093684,2.127937,2.115048,0.020069,0.020251,0.020561,0.020963,92.192537,92.112062,92.639079,93.301544,8.878632,8.92088,8.999902,9.050934,8.120083,8.093665,8.26627,8.305479,7.406341,7.449323,7.496115,7.488958
C01240,A_L17,DIGITAL_CMOS,CMOS_A,1.295269,1.316442,1.338148,1.354218,0.016653,0.016582,0.017011,0.01674,84.955055,84.764604,85.808356,85.484204,9.03101,9.03946,9.107746,9.228066,8.278114,8.385767,8.399319,8.457106,7.662216,7.671358,7.778365,7.813371
C01681,A_L23,DIGITAL_CMOS,CMOS_A,1.207405,1.189616,1.220908,1.226368,0.018008,0.01792,0.017867,0.01825,97.629189,97.853473,97.914462,98.205125,8.942278,8.938914,8.93033,8.935669,8.064401,8.123495,8.1412,8.151082,7.42318,7.439493,7.370468,7.41746
