component_id,lot_id,device_variant,epoch_h,IDDQ,Input_Leakage_Current,Active_Supply_Current,Propagation_Delay,Output_Rise_Time,Output_Fall_Time,measured_at
C00001,A_L01,CMOS_A,0,1.408087,0.011829,87.884655,10.018188,14.978218,8.203012,
C00001,A_L01,CMOS_A,24,1.424752,0.012731,87.744366,10.162009,15.944729,8.195852,
C00001,A_L01,CMOS_A,96,1.453868,0.013446,88.863982,10.144831,15.560295,8.287179,
C00001,A_L01,CMOS_A,168,1.487606,0.013738,88.947445,10.223706,16.37718,8.217509,
C01801,B_L01,CMOS_B,0,0.709244,0.071926,48.706413,5.405215,3.598317,3.163221,
C01801,B_L01,CMOS_B,24,0.707396,0.073854,48.576819,5.435237,3.64277,3.175763,
C01801,B_L01,CMOS_B,96,0.713432,0.074278,48.930974,5.413487,3.670826,3.2604,
C01801,B_L01,CMOS_B,168,0.704208,0.073575,49.536796,5.481629,3.718691,3.315523,
C03674,C_L02,CMOS_C,0,0.325602,0.192606,59.59427,3.452009,1.754142,1.664905,
C03674,C_L02,CMOS_C,24,0.326429,0.193925,60.66508,3.486324,1.771956,1.681026,
C03674,C_L02,CMOS_C,96,0.341304,0.201227,62.209386,3.503461,1.823783,1.750226,
C03674,C_L02,CMOS_C,168,0.348251,0.201991,64.803397,3.5054,1.866227,1.826784,
