component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Active_Supply_Current_0h,Active_Supply_Current_24h,Propagation_Delay_0h,Propagation_Delay_24h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Fall_Time_0h,Output_Fall_Time_24h,IDDQ_168h,Input_Leakage_Current_168h,Active_Supply_Current_168h,Propagation_Delay_168h,Output_Rise_Time_168h,Output_Fall_Time_168h
C00001,A_L01,DIGITAL_CMOS,CMOS_A,1.408087,1.424752,0.011829,0.012731,87.884655,87.744366,10.018188,10.162009,14.978218,15.944729,8.203012,8.195852,1.487606,0.013738,88.947445,10.223706,16.37718,8.217509
C00002,A_L01,DIGITAL_CMOS,CMOS_A,1.552432,1.559156,0.026077,0.027066,84.617921,85.43138,8.522235,8.593447,7.683874,7.634435,7.696743,7.683961,1.632706,0.030926,87.923703,8.631875,7.780622,7.735198
C00003,A_L01,DIGITAL_CMOS,CMOS_A,1.852637,1.817498,0.031201,0.031314,90.628124,90.473263,9.32065,9.322506,7.578387,7.583135,7.502123,7.42318,1.872465,0.032832,91.167367,9.492231,7.705329,7.526566
C00004,A_L01,DIGITAL_CMOS,CMOS_A,1.482589,1.484211,0.013367,0.013776,81.659258,81.918659,9.13944,9.22524,8.086665,8.235248,7.920424,8.028022,1.514035,0.014436,82.714401,9.610485,8.434509,8.376064
C00005,A_L01,DIGITAL_CMOS,CMOS_A,1.199789,1.203264,0.010749,0.010938,77.53311,77.650509,9.569204,9.580026,8.16427,8.238008,8.100352,8.259265,1.217327,0.011088,77.994143,9.948246,8.405655,8.389041
C00006,A_L01,DIGITAL_CMOS,CMOS_A,1.100764,1.117601,0.0211,0.022108,79.547414,80.807858,9.40061,9.560865,7.913823,7.947477,8.032283,8.034878,1.143856,0.025774,84.230349,9.78509,8.056019,8.363675
C00007,A_L01,DIGITAL_CMOS,CMOS_A,1.458198,1.483895,0.024163,0.025545,87.778334,88.131182,9.087246,9.062957,7.705113,7.738609,7.476856,7.533602,1.513994,0.027505,90.729573,9.175518,7.726674,7.63352
C00008,A_L01,DIGITAL_CMOS,CMOS_A,1.296638,1.313616,0.025474,0.025609,85.042752,84.663864,9.998184,10.07855,8.389518,8.401041,7.754129,7.844842,1.327752,0.025843,86.414396,10.258432,8.635658,8.199069
C00009,A_L01,DIGITAL_CMOS,CMOS_A,1.424051,1.412,0.017972,0.018039,80.466627,80.943302,8.756775,8.862029,7.97229,8.023714,7.496191,7.588873,1.433322,0.018397,81.728881,9.261629,8.320831,7.90524
C00010,A_L01,DIGITAL_CMOS,CMOS_A,1.368071,1.380377,0.023468,0.025224,89.694929,90.42488,8.831232,8.888498,7.813591,7.909385,7.457895,7.559442,1.427948,0.027372,91.530518,9.316902,8.219573,7.866099
C00011,A_L01,DIGITAL_CMOS,CMOS_A,1.734111,1.730531,0.020171,0.021604,85.734977,87.530736,9.779987,9.808589,8.223817,8.21208,7.92671,7.990879,1.757332,0.024148,89.077131,9.986247,8.480395,8.321677
C00012,A_L01,DIGITAL_CMOS,CMOS_A,1.493656,1.484359,0.025241,0.025787,83.650403,83.942109,9.229061,9.257758,7.906243,7.899493,7.733796,7.79514,1.459988,0.026803,85.150797,9.39416,7.923458,7.876605
C00013,A_L01,DIGITAL_CMOS,CMOS_A,1.337681,1.333689,0.024405,0.02624,90.366621,91.421108,9.706072,9.780277,7.908597,7.970355,7.405253,7.498868,1.377412,0.028495,92.424623,10.478386,8.371513,7.861865
C00014,A_L01,DIGITAL_CMOS,CMOS_A,1.865717,1.86813,0.019764,0.020518,82.560832,83.612485,8.727541,8.863836,7.509916,7.527599,7.399983,7.548146,1.858556,0.02165,83.400786,9.20415,7.777731,7.829275
C00015,A_L01,DIGITAL_CMOS,CMOS_A,1.233709,1.256027,0.018301,0.018742,86.582849,86.70703,9.09977,9.071843,7.728054,7.708932,7.410344,7.447115,1.273047,0.022083,89.619954,9.07864,7.750362,7.464216
C00016,A_L01,DIGITAL_CMOS,CMOS_A,1.441426,1.47096,0.013743,0.015242,88.563185,89.20368,9.23252,9.306601,8.247974,8.223369,8.076084,8.160228,1.456038,0.016526,90.415553,9.65942,8.646271,8.909143
C00017,A_L01,DIGITAL_CMOS,CMOS_A,1.536566,1.534851,0.020588,0.020976,87.96276,88.198937,8.458308,8.532085,7.216836,7.240348,7.130255,7.167733,1.537763,0.022483,89.665127,9.219188,7.684635,7.599227
C00018,A_L01,DIGITAL_CMOS,CMOS_A,1.875524,1.907134,0.017656,0.018931,87.962925,88.201374,9.104177,9.19535,7.623156,7.683839,7.206741,7.383562,1.92609,0.0206,90.257419,9.46098,7.805145,7.716511
C00019,A_L01,DIGITAL_CMOS,CMOS_A,1.564614,1.589847,0.020199,0.020697,81.109468,81.246219,9.516519,9.490445,8.30819,8.315742,8.336256,8.370758,1.683972,0.022963,85.091359,9.673435,8.338386,8.368881
C00020,A_L01,DIGITAL_CMOS,CMOS_A,1.316957,1.294449,0.013773,0.014153,87.568936,88.704121,9.465907,9.492181,8.345373,8.364425,7.878065,7.885528,1.331509,0.015075,89.875432,9.572138,8.533233,7.946293
C00021,A_L01,DIGITAL_CMOS,CMOS_A,1.558732,1.537521,0.019502,0.020184,90.008069,90.055655,8.538054,8.560819,6.876744,6.881921,7.43434,7.391225,1.674486,0.02309,92.481227,8.633184,6.940391,7.498735
C00022,A_L01,DIGITAL_CMOS,CMOS_A,1.24679,1.25452,0.032182,0.034165,84.011341,84.17311,9.237689,9.30857,7.623904,7.794074,7.447559,7.629386,1.276575,0.037629,85.181211,9.718334,7.930096,7.771955
C00023,A_L01,DIGITAL_CMOS,CMOS_A,1.289514,1.320113,0.02558,0.026531,86.752053,86.290063,9.155239,9.280702,8.216399,8.093575,7.449176,7.428506,1.321972,0.026789,86.848424,9.405083,8.14529,7.405089
C00024,A_L01,DIGITAL_CMOS,CMOS_A,1.387893,1.399172,0.015411,0.01608,80.070105,79.511761,9.129418,9.252556,8.40687,8.482276,7.874307,7.91967,1.474147,0.018066,81.910811,11.492919,8.691174,8.204356
C00025,A_L01,DIGITAL_CMOS,CMOS_A,1.510786,1.535088,0.019781,0.020146,82.367963,82.21496,8.417636,8.522967,7.319797,7.347522,7.361353,7.391339,1.525876,0.021593,83.88058,8.815883,7.722823,7.955287
C00026,A_L01,DIGITAL_CMOS,CMOS_A,1.818559,1.850666,0.028768,0.030861,99.780559,100.654328,8.749118,8.789546,7.466138,7.411085,7.792516,7.876356,1.896349,0.032933,102.79369,8.821757,7.510081,7.863763
C00027,A_L01,DIGITAL_CMOS,CMOS_A,1.071294,1.075512,0.011163,0.011819,78.705662,79.113082,9.483216,9.515282,8.582874,8.600561,8.496715,8.442841,1.09086,0.012961,81.175879,9.557979,8.677126,8.482266
C00028,A_L01,DIGITAL_CMOS,CMOS_A,1.436594,1.418956,0.010359,0.010445,89.626835,89.724651,8.895043,8.909745,7.633569,7.661194,7.912337,8.052783,1.43931,0.011164,90.789191,9.013478,7.703126,8.065809
C00029,A_L01,DIGITAL_CMOS,CMOS_A,1.664833,1.678051,0.016332,0.016613,91.977791,92.708152,9.152429,9.189686,8.214698,8.192291,8.003746,7.99182,1.692391,0.017479,92.646363,9.285556,8.208367,8.036958
C00030,A_L01,DIGITAL_CMOS,CMOS_A,1.522104,1.49998,0.014955,0.015176,81.772093,82.049523,8.769459,8.782885,7.271388,7.331879,7.093888,7.1416,1.513946,0.016149,82.738509,8.809859,7.379567,7.164668
C00031,A_L01,DIGITAL_CMOS,CMOS_A,1.664441,1.646111,0.019652,0.019878,86.748809,86.656594,9.146852,9.177664,7.817614,7.841165,7.609481,7.609658,1.706782,0.020992,87.070059,9.323225,7.919114,7.717175
C00032,A_L01,DIGITAL_CMOS,CMOS_A,1.662791,1.64806,0.017539,0.018042,85.636734,84.596278,9.415128,9.509495,8.139712,8.194605,7.188487,7.255478,1.726907,0.019566,86.660258,9.922632,8.437081,7.59982
C00033,A_L01,DIGITAL_CMOS,CMOS_A,1.129948,1.138121,0.0153,0.015394,83.683119,84.459773,8.86115,8.923666,8.285077,8.25259,7.551159,7.641068,1.133112,0.015792,84.862194,9.118904,8.53334,7.76387
C00034,A_L01,DIGITAL_CMOS,CMOS_A,1.42926,1.452525,0.019653,0.020709,84.884488,85.469769,8.545428,8.613069,7.630828,7.670294,7.49068,7.557892,1.531446,0.022659,87.215244,8.632912,7.754859,7.606295
C00035,A_L01,DIGITAL_CMOS,CMOS_A,1.15605,1.175256,0.019987,0.021096,87.967643,88.7788,8.964136,9.018378,8.030955,8.089516,7.671015,7.762377,1.221214,0.024998,91.47501,9.496808,8.44303,8.312399
C00036,A_L01,DIGITAL_CMOS,CMOS_A,1.732443,1.752186,0.019985,0.020494,89.947375,90.417049,9.398921,9.413262,7.929466,7.951265,8.107814,7.97046,1.803522,0.022008,92.45483,9.445836,7.939198,8.12275
C00037,A_L01,DIGITAL_CMOS,CMOS_A,1.430142,1.480447,0.023734,0.024414,88.6644,88.451919,9.382581,9.550893,8.383826,8.4543,8.024393,8.141898,2.537781,0.02822,101.647155,9.720754,8.770963,8.480413
C00038,A_L01,DIGITAL_CMOS,CMOS_A,1.854878,1.888628,0.019198,0.020137,85.612983,86.538615,9.213642,9.231909,7.407746,7.474109,7.829576,7.872795,2.061388,0.025042,95.392156,9.364413,7.417771,7.898368
C00039,A_L01,DIGITAL_CMOS,CMOS_A,1.83254,1.788286,0.027036,0.02814,79.311134,80.13054,9.056998,9.242806,8.103572,8.185981,7.968631,8.064287,1.844184,0.030655,81.519594,9.701344,8.441805,8.38169
C00040,A_L01,DIGITAL_CMOS,CMOS_A,1.403877,1.397501,0.011709,0.012257,83.688214,82.841345,8.681765,8.732799,7.732105,7.757777,7.412192,7.458091,1.483217,0.013963,85.581392,8.775011,7.782602,7.527629
C00041,A_L01,DIGITAL_CMOS,CMOS_A,1.626189,1.637245,0.021593,0.021938,83.48968,83.457923,9.204275,9.370591,7.88806,7.970205,8.139329,8.232104,1.643721,0.022439,84.739214,9.830066,8.262516,8.602633
C00042,A_L01,DIGITAL_CMOS,CMOS_A,1.280009,1.272759,0.021038,0.02153,79.109873,80.309852,8.451887,8.516236,7.43125,7.36112,7.199299,7.1498,1.306419,0.02296,81.093896,8.569269,7.493279,7.241956
C00043,A_L01,DIGITAL_CMOS,CMOS_A,1.933074,1.943762,0.022742,0.022848,94.104516,94.455614,8.632308,8.718484,7.357608,7.460345,6.909613,6.969892,1.940737,0.022983,95.056584,9.040709,7.581121,7.244868
C00044,A_L01,DIGITAL_CMOS,CMOS_A,1.517103,1.530718,0.016735,0.017644,80.17779,80.073875,9.49722,9.509368,8.621107,8.704729,7.854695,7.923596,1.54417,0.018997,81.596196,9.768065,8.970544,8.125409
C00045,A_L01,DIGITAL_CMOS,CMOS_A,1.350145,1.391087,0.016063,0.016815,91.130097,91.009724,8.849467,8.876632,7.768806,7.797887,6.89844,6.962781,1.407614,0.017959,91.958616,8.900033,7.845518,6.996616
C00046,A_L01,DIGITAL_CMOS,CMOS_A,1.560808,1.608229,0.018522,0.020266,84.838317,86.919981,9.333523,9.4554,7.867817,7.90039,8.043583,8.274591,1.654727,0.021763,89.011249,9.667022,8.085514,8.536978
C00047,A_L01,DIGITAL_CMOS,CMOS_A,1.24918,1.240624,0.013688,0.013713,87.808819,87.445336,8.792877,8.841464,7.495445,7.560741,6.866343,7.050672,1.25132,0.014597,87.488547,8.98688,7.738335,7.270032
C00048,A_L01,DIGITAL_CMOS,CMOS_A,1.555477,1.582662,0.017531,0.018828,94.396251,94.302134,9.816746,9.769261,8.271401,8.348149,7.599695,7.679551,1.596139,0.020022,97.207807,9.735807,8.427259,7.830143
C00049,A_L01,DIGITAL_CMOS,CMOS_A,1.724828,1.729424,0.032331,0.033016,81.921123,81.723307,9.066659,9.140439,8.337827,8.335605,7.853539,7.816539,1.747119,0.033843,82.557288,9.170114,8.443801,7.985074
C00050,A_L01,DIGITAL_CMOS,CMOS_A,1.324901,1.350952,0.018861,0.020712,74.068447,74.307013,9.381205,9.502901,7.509339,7.54099,7.339289,7.463694,1.396321,0.022552,76.474135,9.897488,7.809584,7.864395
C00051,A_L01,DIGITAL_CMOS,CMOS_A,1.365786,1.375799,0.023669,0.024316,88.304422,88.976438,8.747538,8.830913,8.162462,8.302411,7.63349,7.670148,1.358888,0.025282,90.150231,9.543528,8.708353,8.244878
C00052,A_L01,DIGITAL_CMOS,CMOS_A,1.462099,1.474815,0.019921,0.020009,88.988434,88.905355,9.339483,9.428718,7.27356,7.383205,7.542677,7.709831,1.50452,0.02096,91.027683,9.63225,7.533679,7.92033
C00053,A_L01,DIGITAL_CMOS,CMOS_A,1.658986,1.674857,0.013038,0.013319,91.651154,92.020272,9.626245,9.798971,8.809414,8.837691,8.32956,8.475333,1.626816,0.013595,92.391906,10.09763,9.086221,8.814914
C00054,A_L01,DIGITAL_CMOS,CMOS_A,1.627883,1.634212,0.022678,0.022735,88.439439,88.362266,9.431654,9.432259,8.098281,8.132455,7.5549,7.506724,1.656524,0.023833,88.131282,9.483516,8.117437,7.676431
C00055,A_L01,DIGITAL_CMOS,CMOS_A,1.396922,1.387448,0.017397,0.01815,90.141468,89.86809,9.251535,9.326699,7.649871,7.693588,7.740324,7.839322,1.413437,0.021361,92.976143,9.831611,8.110679,8.4465
C00056,A_L01,DIGITAL_CMOS,CMOS_A,1.392829,1.374742,0.016538,0.01718,82.33251,82.213557,9.085354,9.15516,7.787303,7.764571,7.535603,7.602174,1.463076,0.019366,84.711772,9.163113,7.858818,7.574024
C00057,A_L01,DIGITAL_CMOS,CMOS_A,1.587858,1.601984,0.019891,0.01998,93.61389,94.25385,8.943497,8.971411,8.205071,8.236579,7.669893,7.659757,1.632409,0.021112,94.713165,9.015736,8.338238,7.665551
