component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Active_Supply_Current_0h,Active_Supply_Current_24h,Propagation_Delay_0h,Propagation_Delay_24h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Fall_Time_0h,Output_Fall_Time_24h,IDDQ_168h,Input_Leakage_Current_168h,Active_Supply_Current_168h,Propagation_Delay_168h,Output_Rise_Time_168h,Output_Fall_Time_168h
C00669,A_L10,DIGITAL_CMOS,CMOS_A,1.763058,1.750275,0.021464,0.021551,83.588897,82.808315,9.073551,9.161236,8.34057,8.383157,7.389947,7.412337,1.791835,0.022197,83.728249,9.194114,8.41181,7.572246
C00670,A_L10,DIGITAL_CMOS,CMOS_A,1.098346,1.107058,0.015608,0.015637,86.999144,85.820001,9.207037,9.295752,8.411471,8.543088,7.926322,8.009112,1.114481,0.015731,86.885159,9.365784,8.765373,8.45294
C00671,A_L10,DIGITAL_CMOS,CMOS_A,1.452263,1.443647,0.022201,0.022463,91.596352,92.828422,9.174128,9.203465,8.44106,8.386028,7.893879,7.887411,1.502578,0.022081,92.730036,9.210927,8.451968,8.060259
C00672,A_L10,DIGITAL_CMOS,CMOS_A,1.545857,1.55848,0.018771,0.018929,85.693752,86.414719,9.460212,9.395854,8.654504,8.660905,8.199217,8.223276,1.720059,0.01972,90.062567,9.519472,8.694598,8.420838
C00673,A_L10,DIGITAL_CMOS,CMOS_A,1.934917,1.92761,0.016547,0.016592,91.683222,91.157024,8.873933,8.904254,8.28144,8.280787,7.795844,7.814179,1.975419,0.017045,91.521278,8.99257,8.379319,7.997733
C00674,A_L10,DIGITAL_CMOS,CMOS_A,1.174022,1.18435,0.02067,0.020751,84.475495,83.951981,8.757207,8.786401,8.292675,8.312478,7.409314,7.466539,1.206086,0.021204,83.763012,8.758084,8.405223,7.578369
C00675,A_L10,DIGITAL_CMOS,CMOS_A,1.425721,1.451559,0.027963,0.028238,76.207565,75.575192,9.034788,9.040169,8.88111,8.87078,7.815051,7.88617,1.44934,0.0281,77.283349,9.083878,8.95687,8.046567
C00676,A_L10,DIGITAL_CMOS,CMOS_A,1.712863,1.765613,0.019943,0.020178,94.076529,95.993167,9.373168,9.496472,8.165483,8.202344,7.323017,7.523807,1.889757,0.020793,97.709904,9.741045,8.416807,7.828845
C00677,A_L10,DIGITAL_CMOS,CMOS_A,2.273955,2.322685,0.025912,0.026536,90.366229,92.011564,8.930184,8.942826,7.992389,8.111601,7.38863,7.503085,2.42211,0.02788,95.14973,8.999262,8.239105,7.688938
C00678,A_L10,DIGITAL_CMOS,CMOS_A,1.530262,1.56684,0.025767,0.026259,78.334218,78.771924,8.936838,8.973973,7.589486,7.630198,7.404489,7.393472,1.556394,0.025683,78.903931,9.064723,7.723354,7.53903
C00679,A_L10,DIGITAL_CMOS,CMOS_A,1.430937,1.496293,0.019006,0.019876,89.337419,91.160797,9.230176,9.321279,8.793468,8.899659,7.978107,8.034819,1.626131,0.020638,94.542578,9.538443,9.339762,8.736216
C00680,A_L10,DIGITAL_CMOS,CMOS_A,1.469981,1.548542,0.025932,0.026178,90.850403,91.31201,8.733689,8.820816,8.171134,8.271423,7.156774,7.292082,1.722222,0.028256,95.428649,9.166036,8.579194,7.895126
C00681,A_L10,DIGITAL_CMOS,CMOS_A,1.502187,1.513321,0.02114,0.021293,94.260362,93.443415,9.141688,9.187397,8.283538,8.357996,7.1195,7.258481,1.63382,0.023578,97.748884,9.588211,8.758084,7.952557
C00682,A_L10,DIGITAL_CMOS,CMOS_A,1.612732,1.606768,0.027068,0.026731,89.813519,90.255049,8.723309,8.695861,8.587177,8.427766,7.683787,7.681567,1.607116,0.026837,91.079227,8.792428,8.507776,7.676285
