device_variant,reference_device,parameter,unit,working_vcc_V,synthetic_baseline_0h,static_spec_max,baseline_provenance,limit_provenance,test_condition,source_url
CMOS_A,TI SN74HC00,IDDQ,uA,4.5,1.5,40.0,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/gpn/SN74HC00
CMOS_A,TI SN74HC00,Input_Leakage_Current,uA,4.5,0.02,0.1,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/gpn/SN74HC00
CMOS_A,TI SN74HC00,Active_Supply_Current,uA,4.5,90.0,,DERIVED_FROM_DATASHEET_Cpd,NO_STATIC_LIMIT_USED,"Synthetic standardized dynamic-current characterization: one gate switching at 1 MHz, no external capacitive load; I≈Cpd·VCC·f.",https://www.ti.com/lit/gpn/SN74HC00
CMOS_A,TI SN74HC00,Propagation_Delay,ns,4.5,9.0,18.0,DATASHEET_TYPICAL,DATASHEET_LIMIT,Standardized 25°C characterization; variant-specific VCC; datasheet timing anchor.,https://www.ti.com/lit/gpn/SN74HC00
CMOS_A,TI SN74HC00,Output_Rise_Time,ns,4.5,8.0,15.0,DERIVED_FROM_DATASHEET_TRANSITION_TIME,DATASHEET_TRANSITION_TIME_PROXY,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/gpn/SN74HC00
CMOS_A,TI SN74HC00,Output_Fall_Time,ns,4.5,7.5,15.0,DERIVED_FROM_DATASHEET_TRANSITION_TIME,DATASHEET_TRANSITION_TIME_PROXY,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/gpn/SN74HC00
CMOS_B,TI SN74AHC00,IDDQ,uA,5.0,0.6,2.0,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_B,TI SN74AHC00,Input_Leakage_Current,uA,5.0,0.08,1.0,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_B,TI SN74AHC00,Active_Supply_Current,uA,5.0,47.5,,DERIVED_FROM_DATASHEET_Cpd,NO_STATIC_LIMIT_USED,"Synthetic standardized dynamic-current characterization: one gate switching at 1 MHz, no external capacitive load; I≈Cpd·VCC·f.",https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_B,TI SN74AHC00,Propagation_Delay,ns,5.0,5.2,7.5,DATASHEET_TYPICAL,DATASHEET_LIMIT,Standardized 25°C characterization; variant-specific VCC; datasheet timing anchor.,https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_B,TI SN74AHC00,Output_Rise_Time,ns,5.0,3.2,,SYNTHETIC_CHARACTERIZATION,NO_STATIC_LIMIT_USED,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_B,TI SN74AHC00,Output_Fall_Time,ns,5.0,3.0,,SYNTHETIC_CHARACTERIZATION,NO_STATIC_LIMIT_USED,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74ahc00.pdf
CMOS_C,TI SN74LVC00A,IDDQ,uA,3.3,0.3,1.0,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
CMOS_C,TI SN74LVC00A,Input_Leakage_Current,uA,3.3,0.15,1.0,ENGINEERING_BASELINE_ANCHORED_TO_DATASHEET,DATASHEET_LIMIT,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
CMOS_C,TI SN74LVC00A,Active_Supply_Current,uA,3.3,62.7,,DERIVED_FROM_DATASHEET_Cpd,NO_STATIC_LIMIT_USED,"Synthetic standardized dynamic-current characterization: one gate switching at 1 MHz, no external capacitive load; I≈Cpd·VCC·f.",https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
CMOS_C,TI SN74LVC00A,Propagation_Delay,ns,3.3,3.5,4.1,DATASHEET_TYPICAL,DATASHEET_LIMIT,Standardized 25°C characterization; variant-specific VCC; datasheet timing anchor.,https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
CMOS_C,TI SN74LVC00A,Output_Rise_Time,ns,3.3,1.8,,SYNTHETIC_CHARACTERIZATION,NO_STATIC_LIMIT_USED,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
CMOS_C,TI SN74LVC00A,Output_Fall_Time,ns,3.3,1.7,,SYNTHETIC_CHARACTERIZATION,NO_STATIC_LIMIT_USED,Standardized 25°C checkpoint characterization after 125°C burn-in stress interval; synthetic benchmark protocol.,https://www.ti.com/lit/ds/symlink/sn74lvc00a.pdf
