component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h,is_anomalous
C00669,A_L10,DIGITAL_CMOS,CMOS_A,1.763058,1.750275,1.762809,1.791835,0.021464,0.021551,0.022143,0.022197,83.588897,82.808315,82.784319,83.728249,9.073551,9.161236,9.161398,9.194114,8.34057,8.383157,8.411247,8.41181,7.389947,7.412337,7.496033,7.572246,0
C00670,A_L10,DIGITAL_CMOS,CMOS_A,1.098346,1.107058,1.104182,1.114481,0.015608,0.015637,0.015814,0.015731,86.999144,85.820001,86.204527,86.885159,9.207037,9.295752,9.298069,9.365784,8.411471,8.543088,8.666858,8.765373,7.926322,8.009112,8.239666,8.45294,0
C00671,A_L10,DIGITAL_CMOS,CMOS_A,1.452263,1.443647,1.491227,1.502578,0.022201,0.022463,0.022383,0.022081,91.596352,92.828422,93.079974,92.730036,9.174128,9.203465,9.275955,9.210927,8.44106,8.386028,8.433157,8.451968,7.893879,7.887411,7.987057,8.060259,0
C00672,A_L10,DIGITAL_CMOS,CMOS_A,1.545857,1.55848,1.626324,1.720059,0.018771,0.018929,0.019964,0.01972,85.693752,86.414719,87.573399,90.062567,9.460212,9.395854,9.528924,9.519472,8.654504,8.660905,8.725706,8.694598,8.199217,8.223276,8.330663,8.420838,0
C00673,A_L10,DIGITAL_CMOS,CMOS_A,1.934917,1.92761,1.941076,1.975419,0.016547,0.016592,0.017014,0.017045,91.683222,91.157024,91.86495,91.521278,8.873933,8.904254,9.012139,8.99257,8.28144,8.280787,8.324521,8.379319,7.795844,7.814179,7.937249,7.997733,0
C00674,A_L10,DIGITAL_CMOS,CMOS_A,1.174022,1.18435,1.187143,1.206086,0.02067,0.020751,0.020726,0.021204,84.475495,83.951981,84.166674,83.763012,8.757207,8.786401,8.81997,8.758084,8.292675,8.312478,8.334017,8.405223,7.409314,7.466539,7.493767,7.578369,0
C00675,A_L10,DIGITAL_CMOS,CMOS_A,1.425721,1.451559,1.414155,1.44934,0.027963,0.028238,0.028239,0.0281,76.207565,75.575192,76.131628,77.283349,9.034788,9.040169,9.046649,9.083878,8.88111,8.87078,8.805384,8.95687,7.815051,7.88617,7.90614,8.046567,0
C00676,A_L10,DIGITAL_CMOS,CMOS_A,1.712863,1.765613,1.830237,1.889757,0.019943,0.020178,0.02071,0.020793,94.076529,95.993167,97.034354,97.709904,9.373168,9.496472,9.661519,9.741045,8.165483,8.202344,8.344056,8.416807,7.323017,7.523807,7.783878,7.828845,0
C00677,A_L10,DIGITAL_CMOS,CMOS_A,2.273955,2.322685,2.403452,2.42211,0.025912,0.026536,0.027254,0.02788,90.366229,92.011564,93.608095,95.14973,8.930184,8.942826,9.017554,8.999262,7.992389,8.111601,8.152317,8.239105,7.38863,7.503085,7.583812,7.688938,0
C00678,A_L10,DIGITAL_CMOS,CMOS_A,1.530262,1.56684,1.560892,1.556394,0.025767,0.026259,0.025873,0.025683,78.334218,78.771924,78.703416,78.903931,8.936838,8.973973,9.120869,9.064723,7.589486,7.630198,7.591118,7.723354,7.404489,7.393472,7.493037,7.53903,0
C00679,A_L10,DIGITAL_CMOS,CMOS_A,1.430937,1.496293,1.566646,1.626131,0.019006,0.019876,0.020389,0.020638,89.337419,91.160797,93.69584,94.542578,9.230176,9.321279,9.450431,9.538443,8.793468,8.899659,9.136838,9.339762,7.978107,8.034819,8.398182,8.736216,0
C00680,A_L10,DIGITAL_CMOS,CMOS_A,1.469981,1.548542,1.617239,1.722222,0.025932,0.026178,0.027001,0.028256,90.850403,91.31201,92.586223,95.428649,8.733689,8.820816,9.046913,9.166036,8.171134,8.271423,8.442077,8.579194,7.156774,7.292082,7.613325,7.895126,0
C00681,A_L10,DIGITAL_CMOS,CMOS_A,1.502187,1.513321,1.575717,1.63382,0.02114,0.021293,0.02278,0.023578,94.260362,93.443415,96.096585,97.748884,9.141688,9.187397,9.375079,9.588211,8.283538,8.357996,8.556075,8.758084,7.1195,7.258481,7.622326,7.952557,0
C00682,A_L10,DIGITAL_CMOS,CMOS_A,1.612732,1.606768,1.575193,1.607116,0.027068,0.026731,0.027002,0.026837,89.813519,90.255049,89.63082,91.079227,8.723309,8.695861,8.761509,8.792428,8.587177,8.427766,8.541566,8.507776,7.683787,7.681567,7.705365,7.676285,0
C00683,A_L10,DIGITAL_CMOS,CMOS_A,1.735949,1.725599,1.740957,1.735657,0.025377,0.025133,0.025722,0.026068,87.634422,86.918223,87.794198,88.953661,8.803956,8.878929,9.155368,9.372442,8.079038,8.163154,8.304643,8.527101,7.345552,7.468086,7.778592,8.123217,0
C00684,A_L10,DIGITAL_CMOS,CMOS_A,1.976465,2.007163,2.148509,2.207002,0.031077,0.032361,0.032962,0.033061,83.674081,83.964474,85.834938,86.377236,9.364712,9.455788,9.731888,10.021407,8.329007,8.494998,8.652816,8.923687,7.794982,7.868675,8.115598,8.280622,0
