component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h
C00158,A_L03,DIGITAL_CMOS,CMOS_A,1.737013,1.714447,1.744645,1.815487,0.015764,0.016119,0.016399,0.016535,93.4904,94.496466,94.627841,95.566703,9.434841,9.550908,9.86134,10.13315,7.648679,7.715496,8.104531,8.551173,7.827236,7.921549,8.087664,8.207154
C00159,A_L03,DIGITAL_CMOS,CMOS_A,1.401652,1.419973,1.415496,1.427351,0.018195,0.018122,0.018,0.018146,89.701837,90.621956,90.350102,89.751577,8.809832,8.938623,9.000423,9.174788,8.117089,8.173664,8.379485,8.688183,7.85815,7.94609,8.103082,8.315002
C00160,A_L03,DIGITAL_CMOS,CMOS_A,1.6594,1.698248,1.749305,1.731113,0.010974,0.011183,0.011147,0.011428,97.114202,98.227767,99.508672,99.635395,9.226676,9.35599,9.517314,9.648699,8.225706,8.365139,8.497944,8.507229,7.481622,7.612608,7.658161,7.914028
C00161,A_L03,DIGITAL_CMOS,CMOS_A,1.795742,1.845335,1.923686,1.923726,0.013407,0.013756,0.014325,0.014279,91.929742,90.858217,92.196937,92.450378,9.202893,9.294809,9.38677,9.44416,7.59051,7.727131,7.875597,8.00788,7.533711,7.64472,7.709766,7.700359
C00162,A_L03,DIGITAL_CMOS,CMOS_A,1.593236,1.601371,1.615594,1.601802,0.019789,0.019737,0.020084,0.020173,88.763422,88.323315,89.133698,88.378772,8.856209,8.939607,9.065038,9.103216,8.574981,8.655392,8.857381,9.022785,7.729168,7.758329,7.912705,7.963123
C00163,A_L03,DIGITAL_CMOS,CMOS_A,1.74693,1.784357,1.865525,1.878405,0.018677,0.01938,0.019649,0.020031,92.3156,92.755725,94.104133,95.667675,9.177223,9.313609,9.595053,9.651336,8.080133,8.06886,8.259211,8.266187,7.876501,7.940736,8.072515,8.122191
C00164,A_L03,DIGITAL_CMOS,CMOS_A,2.19236,2.248733,2.210962,2.220638,0.016836,0.017079,0.017172,0.017179,95.637436,95.606266,96.338687,96.207238,8.937699,8.969574,9.011202,9.067205,7.708991,7.752557,7.795329,7.805964,7.428708,7.54387,7.456648,7.468057
C00165,A_L03,DIGITAL_CMOS,CMOS_A,1.540427,1.571917,1.608002,1.606024,0.020399,0.020717,0.020549,0.020587,88.823436,89.147553,89.376807,88.915794,9.083098,9.134232,9.154621,9.255228,8.514281,8.610089,8.596058,8.7145,8.552699,8.598894,8.566048,8.609955
C00166,A_L03,DIGITAL_CMOS,CMOS_A,1.539425,1.51819,1.551767,1.5427,0.016277,0.016461,0.016507,0.016725,86.014069,86.345509,86.672324,86.12461,9.15758,9.266001,9.3344,9.362783,7.864924,8.138869,8.388082,8.494491,7.821534,7.910165,7.988723,8.033154
C00167,A_L03,DIGITAL_CMOS,CMOS_A,1.793256,1.79214,1.788128,1.860271,0.021889,0.021984,0.021893,0.022277,89.532226,89.129036,90.229291,90.788988,9.590954,9.612132,9.727766,9.717838,8.500834,8.517864,8.466335,8.42198,8.027608,8.127178,8.188037,8.089104
