component_id,module_a_score,module_a_disposition,module_a_primary_parameter,module_a_reason_codes,module_a_evidence_tier,module_a_attribution_margin,statistical_score,spec_exceedance_ratio,scored_epoch_h,analysis_status,model_version,dataset_id
C00158,0.6645695364238411,PASS,,A_OK,PASS,,0.7384105960264901,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00159,0.25231788079470197,PASS,,A_OK,PASS,,0.2803532008830022,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00160,0.6009933774834437,PASS,,A_OK,PASS,,0.6677704194260485,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00161,0.21456953642384105,PASS,,A_OK,PASS,,0.23841059602649006,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00162,0.027814569536423844,PASS,,A_OK,PASS,,0.03090507726269316,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00163,0.3605960264900662,PASS,,A_OK,PASS,,0.40066225165562913,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00164,0.4281456953642384,PASS,,A_OK,PASS,,0.4757174392935982,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00165,0.24735099337748345,PASS,,A_OK,PASS,,0.27483443708609273,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00166,0.23543046357615896,PASS,,A_OK,PASS,,0.26158940397350994,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00167,0.02185430463576159,PASS,,A_OK,PASS,,0.024282560706401765,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00168,0.34172185430463575,PASS,,A_OK,PASS,,0.37969094922737306,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00169,0.3486754966887417,PASS,,A_OK,PASS,,0.38741721854304634,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00170,0.45596026490066227,PASS,,A_OK,PASS,,0.5066225165562914,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00171,0.4102649006622517,PASS,,A_OK,PASS,,0.45584988962472406,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00172,0.39933774834437086,PASS,,A_OK,PASS,,0.44370860927152317,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00173,0.4857615894039735,PASS,,A_OK,PASS,,0.5397350993377483,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00174,0.13509933774834437,PASS,,A_OK,PASS,,0.15011037527593818,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00175,0.5076158940397351,PASS,,A_OK,PASS,,0.5640176600441501,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00176,0.3655629139072848,PASS,,A_OK,PASS,,0.40618101545253865,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00177,0.5195364238410596,PASS,,A_OK,PASS,,0.5772626931567328,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00178,0.3764900662251656,PASS,,A_OK,PASS,,0.41832229580573954,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00179,0.6973509933774834,PASS,,A_OK,PASS,,0.7748344370860927,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00180,0.0804635761589404,PASS,,A_OK,PASS,,0.08940397350993377,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00181,0.2662251655629139,PASS,,A_OK,PASS,,0.2958057395143488,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00182,0.27715231788079475,PASS,,A_OK,PASS,,0.3079470198675497,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00183,0.15596026490066225,PASS,,A_OK,PASS,,0.17328918322295805,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00184,0.03377483443708609,PASS,,A_OK,PASS,,0.037527593818984545,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00185,0.7301324503311258,PASS,,A_OK,PASS,,0.8112582781456954,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00186,0.42218543046357615,PASS,,A_OK,PASS,,0.46909492273730685,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00187,0.4350993377483444,PASS,,A_OK,PASS,,0.48344370860927155,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00188,0.8493377483443709,MONITOR,Input_Leakage_Current,A_LOT_RELATIVE_DEVIATION,MONITOR,1.1829390296378741,0.9437086092715232,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00189,0.3645695364238411,PASS,,A_OK,PASS,,0.40507726269315675,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00190,0.623841059602649,PASS,,A_OK,PASS,,0.6931567328918322,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00191,0.528476821192053,PASS,,A_OK,PASS,,0.58719646799117,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00192,0.4062913907284768,PASS,,A_OK,PASS,,0.45143487858719644,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00193,0.7569536423841059,PASS,,A_OK,PASS,,0.8410596026490066,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00194,0.0923841059602649,PASS,,A_OK,PASS,,0.10264900662251655,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00195,0.0913907284768212,PASS,,A_OK,PASS,,0.10154525386313466,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00196,0.17880794701986755,PASS,,A_OK,PASS,,0.1986754966887417,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
