lot_id,components,device_variant,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1
C_L06,82,CMOS_C,1,75,3,3,82,4,78,4,78,0.25,0.9615384615384616,0.038461538461538464,0.75,0.25,0.9615384615384616,0.926829268292683,0.25
B_L03,72,CMOS_B,3,65,0,4,72,7,65,3,69,0.42857142857142855,1.0,0.0,0.5714285714285714,1.0,0.9420289855072463,0.9444444444444444,0.6
B_L18,81,CMOS_B,3,75,0,3,81,6,75,3,78,0.5,1.0,0.0,0.5,1.0,0.9615384615384616,0.9629629629629629,0.6666666666666666
B_L20,79,CMOS_B,4,71,1,3,79,7,72,5,74,0.5714285714285714,0.9861111111111112,0.013888888888888888,0.42857142857142855,0.8,0.9594594594594594,0.9493670886075949,0.6666666666666666
A_L03,70,CMOS_A,3,64,1,2,70,5,65,4,66,0.6,0.9846153846153847,0.015384615384615385,0.4,0.75,0.9696969696969697,0.9571428571428572,0.6666666666666666
A_L05,81,CMOS_A,4,75,0,2,81,6,75,4,77,0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,0.974025974025974,0.9753086419753086,0.8
A_L04,69,CMOS_A,4,61,2,2,69,6,63,6,63,0.6666666666666666,0.9682539682539683,0.031746031746031744,0.3333333333333333,0.6666666666666666,0.9682539682539683,0.9420289855072463,0.6666666666666666
A_L06,73,CMOS_A,5,66,0,2,73,7,66,5,68,0.7142857142857143,1.0,0.0,0.2857142857142857,1.0,0.9705882352941176,0.9726027397260274,0.8333333333333334
C_L14,70,CMOS_C,5,62,1,2,70,7,63,6,64,0.7142857142857143,0.9841269841269841,0.015873015873015872,0.2857142857142857,0.8333333333333334,0.96875,0.9571428571428572,0.7692307692307693
C_L12,71,CMOS_C,3,66,1,1,71,4,67,4,67,0.75,0.9850746268656716,0.014925373134328358,0.25,0.75,0.9850746268656716,0.971830985915493,0.75
A_L09,74,CMOS_A,4,68,1,1,74,5,69,5,69,0.8,0.9855072463768116,0.014492753623188406,0.2,0.8,0.9855072463768116,0.972972972972973,0.8
B_L04,82,CMOS_B,7,75,0,0,82,7,75,7,75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
B_L09,71,CMOS_B,4,66,1,0,71,4,67,5,66,1.0,0.9850746268656716,0.014925373134328358,0.0,0.8,1.0,0.9859154929577465,0.8888888888888888
C_L01,73,CMOS_C,10,63,0,0,73,10,63,10,63,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
C_L20,69,CMOS_C,5,64,0,0,69,5,64,5,64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
A_L22,74,CMOS_A,0,72,2,0,74,0,74,2,72,,0.972972972972973,0.02702702702702703,,0.0,1.0,0.972972972972973,0.0
B_L12,73,CMOS_B,0,73,0,0,73,0,73,0,73,,1.0,0.0,,,1.0,1.0,
C_L23,79,CMOS_C,0,79,0,0,79,0,79,0,79,,1.0,0.0,,,1.0,1.0,
