result,scope,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1
holdout @ 0 h — frozen release,DIAGNOSTIC,14,1221,32,76,1343,90,1253,46,1297,0.15555555555555556,0.9744612928970471,0.025538707102952914,0.8444444444444444,0.30434782608695654,0.9414032382420972,0.9195830230826508,0.20588235294117646
holdout @ 24 h — frozen release,DIAGNOSTIC,19,1221,32,71,1343,90,1253,51,1292,0.2111111111111111,0.9744612928970471,0.025538707102952914,0.7888888888888889,0.37254901960784315,0.945046439628483,0.9233060312732688,0.2695035460992908
holdout @ 96 h — frozen release,DIAGNOSTIC,32,1222,31,58,1343,90,1253,63,1280,0.35555555555555557,0.9752593774940144,0.024740622505985636,0.6444444444444445,0.5079365079365079,0.9546875,0.9337304542069993,0.41830065359477125
holdout @ 168 h — frozen release,DIAGNOSTIC,65,1240,13,25,1343,90,1253,78,1265,0.7222222222222222,0.9896249002394254,0.010375099760574621,0.2777777777777778,0.8333333333333334,0.9802371541501976,0.9717051377513031,0.7738095238095238
holdout 168 h — CONFIRMED tier only,DIAGNOSTIC,23,1253,0,67,1343,90,1253,23,1320,0.25555555555555554,1.0,0.0,0.7444444444444445,1.0,0.9492424242424242,0.9501116902457185,0.40707964601769914
holdout 168 h — statistical MONITOR tier only,DIAGNOSTIC,42,1240,13,48,1343,90,1253,55,1288,0.4666666666666667,0.9896249002394254,0.010375099760574621,0.5333333333333333,0.7636363636363637,0.9627329192546584,0.9545793000744601,0.5793103448275863
datasheet limit rule — TRAIN,ALL SPLITS,45,2971,0,135,3151,180,2971,45,3106,0.25,1.0,0.0,0.75,1.0,0.9565357372826787,0.9571564582672167,0.4
datasheet limit rule — CALIBRATION,ALL SPLITS,13,852,0,41,906,54,852,13,893,0.24074074074074073,1.0,0.0,0.7592592592592593,1.0,0.9540873460246361,0.9547461368653422,0.3880597014925373
datasheet limit rule — HOLDOUT,ALL SPLITS,23,1253,0,67,1343,90,1253,23,1320,0.25555555555555554,1.0,0.0,0.7444444444444445,1.0,0.9492424242424242,0.9501116902457185,0.40707964601769914
calibration out-of-fold — shipped configuration,LEAVE-ONE-LOT-OUT,47,844,8,7,906,54,852,55,851,0.8703703703703703,0.9906103286384976,0.009389671361502348,0.12962962962962962,0.8545454545454545,0.9917743830787309,0.9834437086092715,0.8623853211009175
