held_out_lot,components,anomalies,inherited_threshold,selected_threshold,inherited_tp,inherited_tn,inherited_fp,inherited_fn,inherited_n,inherited_positives,inherited_negatives,inherited_flagged,inherited_passed,inherited_recall,inherited_specificity,inherited_fpr,inherited_fnr,inherited_precision,inherited_npv,inherited_accuracy,inherited_f1,shipped_tp,shipped_tn,shipped_fp,shipped_fn,shipped_n,shipped_positives,shipped_negatives,shipped_flagged,shipped_passed,shipped_recall,shipped_specificity,shipped_fpr,shipped_fnr,shipped_precision,shipped_npv,shipped_accuracy,shipped_f1,threshold_tp,threshold_tn,threshold_fp,threshold_fn,threshold_n,threshold_positives,threshold_negatives,threshold_flagged,threshold_passed,threshold_recall,threshold_specificity,threshold_fpr,threshold_fnr,threshold_precision,threshold_npv,threshold_accuracy,threshold_f1,full_tp,full_tn,full_fp,full_fn,full_n,full_positives,full_negatives,full_flagged,full_passed,full_recall,full_specificity,full_fpr,full_fnr,full_precision,full_npv,full_accuracy,full_f1
A_L10,82,7,0.9393574297188756,0.9287248322147653,5,75,0,2,82,7,75,5,77,0.7142857142857143,1.0,0.0,0.2857142857142857,1.0,0.974025974025974,0.975609756097561,0.8333333333333334,5,75,0,2,82,7,75,5,77,0.7142857142857143,1.0,0.0,0.2857142857142857,1.0,0.974025974025974,0.975609756097561,0.8333333333333334,5,75,0,2,82,7,75,5,77,0.7142857142857143,1.0,0.0,0.2857142857142857,1.0,0.974025974025974,0.975609756097561,0.8333333333333334,5,75,0,2,82,7,75,5,77,0.7142857142857143,1.0,0.0,0.2857142857142857,1.0,0.974025974025974,0.975609756097561,0.8333333333333334
A_L12,72,0,0.9338177014531045,0.9250331125827816,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,
A_L18,79,5,0.9353333333333336,0.928342245989305,4,74,0,1,79,5,74,4,75,0.8,1.0,0.0,0.2,1.0,0.9866666666666667,0.9873417721518988,0.8888888888888888,4,74,0,1,79,5,74,4,75,0.8,1.0,0.0,0.2,1.0,0.9866666666666667,0.9873417721518988,0.8888888888888888,4,74,0,1,79,5,74,4,75,0.8,1.0,0.0,0.2,1.0,0.9866666666666667,0.9873417721518988,0.8888888888888888,4,73,1,1,79,5,74,5,74,0.8,0.9864864864864865,0.013513513513513514,0.2,0.8,0.9864864864864865,0.9746835443037974,0.8
A_L24,75,7,0.9348806366047747,0.9414893617021278,6,67,1,1,75,7,68,7,68,0.8571428571428571,0.9852941176470589,0.014705882352941176,0.14285714285714285,0.8571428571428571,0.9852941176470589,0.9733333333333334,0.8571428571428571,5,67,1,2,75,7,68,6,69,0.7142857142857143,0.9852941176470589,0.014705882352941176,0.2857142857142857,0.8333333333333334,0.9710144927536232,0.96,0.7692307692307693,6,67,1,1,75,7,68,7,68,0.8571428571428571,0.9852941176470589,0.014705882352941176,0.14285714285714285,0.8571428571428571,0.9852941176470589,0.9733333333333334,0.8571428571428571,5,67,1,2,75,7,68,6,69,0.7142857142857143,0.9852941176470589,0.014705882352941176,0.2857142857142857,0.8333333333333334,0.9710144927536232,0.96,0.7692307692307693
B_L11,72,0,0.92998678996037,0.9226490066225166,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,,0,72,0,0,72,0,72,0,72,,1.0,0.0,,,1.0,1.0,
B_L13,77,6,0.9349333333333335,0.9440000000000001,6,71,0,0,77,6,71,6,71,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6,69,2,0,77,6,71,8,69,1.0,0.971830985915493,0.028169014084507043,0.0,0.75,1.0,0.974025974025974,0.8571428571428571,6,70,1,0,77,6,71,7,70,1.0,0.9859154929577465,0.014084507042253521,0.0,0.8571428571428571,1.0,0.987012987012987,0.9230769230769231,6,69,2,0,77,6,71,8,69,1.0,0.971830985915493,0.028169014084507043,0.0,0.75,1.0,0.974025974025974,0.8571428571428571
B_L22,80,7,0.9350736278447124,0.9424364123159304,5,71,2,2,80,7,73,7,73,0.7142857142857143,0.9726027397260274,0.0273972602739726,0.2857142857142857,0.7142857142857143,0.9726027397260274,0.95,0.7142857142857143,6,71,2,1,80,7,73,8,72,0.8571428571428571,0.9726027397260274,0.0273972602739726,0.14285714285714285,0.75,0.9861111111111112,0.9625,0.8,5,71,2,2,80,7,73,7,73,0.7142857142857143,0.9726027397260274,0.0273972602739726,0.2857142857142857,0.7142857142857143,0.9726027397260274,0.95,0.7142857142857143,6,71,2,1,80,7,73,8,72,0.8571428571428571,0.9726027397260274,0.0273972602739726,0.14285714285714285,0.75,0.9861111111111112,0.9625,0.8
B_L23,72,5,0.9340819022457069,0.9390728476821193,2,66,1,3,72,5,67,3,69,0.4,0.9850746268656716,0.014925373134328358,0.6,0.6666666666666666,0.9565217391304348,0.9444444444444444,0.5,3,66,1,2,72,5,67,4,68,0.6,0.9850746268656716,0.014925373134328358,0.4,0.75,0.9705882352941176,0.9583333333333334,0.6666666666666666,2,66,1,3,72,5,67,3,69,0.4,0.9850746268656716,0.014925373134328358,0.6,0.6666666666666666,0.9565217391304348,0.9444444444444444,0.5,3,66,1,2,72,5,67,4,68,0.6,0.9850746268656716,0.014925373134328358,0.4,0.75,0.9705882352941176,0.9583333333333334,0.6666666666666666
C_L05,70,6,0.9382081686429514,0.9295904887714664,6,64,0,0,70,6,64,6,64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6,64,0,0,70,6,64,6,64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6,64,0,0,70,6,64,6,64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6,64,0,0,70,6,64,6,64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
C_L08,79,0,0.9291443850267381,0.9358288770053477,0,77,2,0,79,0,79,2,77,,0.9746835443037974,0.02531645569620253,,0.0,1.0,0.9746835443037974,0.0,0,77,2,0,79,0,79,2,77,,0.9746835443037974,0.02531645569620253,,0.0,1.0,0.9746835443037974,0.0,0,75,4,0,79,0,79,4,75,,0.9493670886075949,0.05063291139240506,,0.0,1.0,0.9493670886075949,0.0,0,77,2,0,79,0,79,2,77,,0.9746835443037974,0.02531645569620253,,0.0,1.0,0.9746835443037974,0.0
