split,epoch_h,components,normals,flagged,true_positives,FALSE_POSITIVES,recall_of_all_anomalies
TRAIN,0,3151,2971,3,3,0,0.016666666666666666
TRAIN,24,3151,2971,8,8,0,0.044444444444444446
TRAIN,96,3151,2971,13,13,0,0.07222222222222222
TRAIN,168,3151,2971,45,45,0,0.25
CALIBRATION,0,906,852,3,3,0,0.05555555555555555
CALIBRATION,24,906,852,4,4,0,0.07407407407407407
CALIBRATION,96,906,852,4,4,0,0.07407407407407407
CALIBRATION,168,906,852,13,13,0,0.24074074074074073
HOLDOUT,0,1343,1253,1,1,0,0.011111111111111112
HOLDOUT,24,1343,1253,1,1,0,0.011111111111111112
HOLDOUT,96,1343,1253,1,1,0,0.011111111111111112
HOLDOUT,168,1343,1253,23,23,0,0.25555555555555554
