held_out_lot,threshold,electrical,temporal,timing,overall_extreme,lot_relative
A_L10,0.9175531914893618,0.0,0.0,0.0,0.0,1.0
A_L12,0.913907284768212,0.0,0.0,0.0,0.0,1.0
A_L18,0.9192052980132451,0.0,0.0,0.0,0.0,1.0
A_L24,0.9215425531914895,0.0,0.0,0.0,0.0,1.0
B_L11,0.913907284768212,0.0,0.0,0.0,0.0,1.0
B_L13,0.9213333333333334,0.0,0.0,0.0,0.0,1.0
B_L22,0.9217506631299736,0.0,0.0,0.0,0.0,1.0
B_L23,0.9175392670157069,0.0,0.0,0.0,0.0,1.0
C_L05,0.9201570680628274,0.0,0.0,0.0,0.0,1.0
C_L08,0.9123505976095618,0.0,0.0,0.0,0.0,1.0
C_L16,0.9197368421052633,0.0,0.0,0.0,0.0,1.0
C_L19,0.9199475065616799,0.0,0.0,0.0,0.0,1.0
