held_out_lot,threshold,electrical,temporal,timing,overall_extreme,lot_relative
A_L10,0.9287248322147653,0.0,0.1,0.0,0.0,0.9
A_L12,0.9250331125827816,0.0,0.1,0.0,0.0,0.9
A_L18,0.928342245989305,0.0,0.1,0.0,0.0,0.9
A_L24,0.9414893617021278,0.0,0.0,0.0,0.0,1.0
B_L11,0.9226490066225166,0.0,0.1,0.0,0.0,0.9
B_L13,0.9440000000000001,0.0,0.0,0.0,0.0,1.0
B_L22,0.9424364123159304,0.0,0.0,0.0,0.0,1.0
B_L23,0.9390728476821193,0.0,0.0,0.0,0.0,1.0
C_L05,0.9295904887714664,0.0,0.1,0.0,0.0,0.9
C_L08,0.9358288770053477,0.0,0.0,0.0,0.0,1.0
C_L16,0.9294820717131475,0.0,0.1,0.0,0.0,0.9
C_L19,0.9402390438247014,0.0,0.0,0.0,0.0,1.0
